CRX,CRY,TimeStamp
676.3829,270.3655,28/04/2016 13:40:39.939
695.4911,212.5357,28/04/2016 13:40:39.956
690.9462,268.9768,28/04/2016 13:40:39.972
708.1863,253.2022,28/04/2016 13:40:39.989
691.8188,254.101,28/04/2016 13:40:40.006
676.7112,274.3657,28/04/2016 13:40:40.022
705.1053,254.6373,28/04/2016 13:40:40.039
696.0499,274.6795,28/04/2016 13:40:40.056
684.2655,249.0424,28/04/2016 13:40:40.072
770.3008,238.6932,28/04/2016 13:40:40.089
807.7117,219.9972,28/04/2016 13:40:40.106
821.0299,261.134,28/04/2016 13:40:40.122
828.5553,252.8038,28/04/2016 13:40:40.140
811.4478,262.7347,28/04/2016 13:40:40.155
818.4061,279.3376,28/04/2016 13:40:40.172
830.0367,241.4715,28/04/2016 13:40:40.189
832.6386,221.5326,28/04/2016 13:40:40.205
817.9028,269.3299,28/04/2016 13:40:40.222
796.9046,284.1094,28/04/2016 13:40:40.240
814.7225,235.622,28/04/2016 13:40:40.255
819.6028,274.3737,28/04/2016 13:40:40.272
811.571,277.0078,28/04/2016 13:40:40.289
792.4952,240.3001,28/04/2016 13:40:40.305
802.2106,269.8947,28/04/2016 13:40:40.338
818.437,298.9119,28/04/2016 13:40:40.323
833.7078,277.7374,28/04/2016 13:40:40.355
812.5625,278.8602,28/04/2016 13:40:40.372
821.9675,366.9833,28/04/2016 13:40:40.389
834.4747,350.1414,28/04/2016 13:40:40.405
810.0764,354.9396,28/04/2016 13:40:40.422
828.0588,343.9475,28/04/2016 13:40:40.438
830.5608,351.8264,28/04/2016 13:40:40.455
823.7482,342.9224,28/04/2016 13:40:40.472
845.8564,364.1053,28/04/2016 13:40:40.488
835.5818,354.5529,28/04/2016 13:40:40.505
833.0378,361.372,28/04/2016 13:40:40.522
763.7246,337.039,28/04/2016 13:40:40.539
589.8473,321.21,28/04/2016 13:40:40.555
570.5053,273.0529,28/04/2016 13:40:40.572
596.6511,308.1549,28/04/2016 13:40:40.588
583.7953,322.9012,28/04/2016 13:40:40.605
594.9053,313.8723,28/04/2016 13:40:40.621
576.8284,308.3912,28/04/2016 13:40:40.638
