CRX,CRY,TimeStamp
798.3329,694.6002,28/04/2016 13:45:25.380
803.2627,691.0355,28/04/2016 13:45:25.413
794.0176,647.5194,28/04/2016 13:45:25.430
801.6846,681.6818,28/04/2016 13:45:25.447
810.9949,669.2385,28/04/2016 13:45:25.464
780.1982,659.3501,28/04/2016 13:45:25.480
781.9135,660.0998,28/04/2016 13:45:25.497
711.8724,521.2523,28/04/2016 13:45:25.514
681.4844,471.2867,28/04/2016 13:45:25.530
671.4777,458.2659,28/04/2016 13:45:25.547
687.0232,451.4589,28/04/2016 13:45:25.580
682.6149,450.5724,28/04/2016 13:45:25.597
672.6743,446.2462,28/04/2016 13:45:25.613
679.0286,476.2474,28/04/2016 13:45:25.647
700.4784,435.0251,28/04/2016 13:45:25.630
682.4542,459.5654,28/04/2016 13:45:25.663
700.8499,431.3424,28/04/2016 13:45:25.680
679.0535,462.8788,28/04/2016 13:45:25.697
671.2861,443.8159,28/04/2016 13:45:25.713
673.4383,466.776,28/04/2016 13:45:25.730
713.7855,447.0607,28/04/2016 13:45:25.747
841.0114,492.5197,28/04/2016 13:45:25.764
867.1696,647.1653,28/04/2016 13:45:25.863
920.4967,516.3746,28/04/2016 13:45:25.882
905.6678,336.2184,28/04/2016 13:45:25.913
889.2526,321.9379,28/04/2016 13:45:25.930
903.5203,295.5457,28/04/2016 13:45:25.946
907.3738,272.8838,28/04/2016 13:45:25.963
894.8856,302.7961,28/04/2016 13:45:25.980
880.1708,289.3578,28/04/2016 13:45:25.996
887.7872,264.4846,28/04/2016 13:45:26.013
884.2927,319.2056,28/04/2016 13:45:26.030
882.3104,292.9905,28/04/2016 13:45:26.046
900.2224,314.2057,28/04/2016 13:45:26.063
894.2747,293.6131,28/04/2016 13:45:26.080
884.5622,340.8766,28/04/2016 13:45:26.102
896.9274,301.1837,28/04/2016 13:45:26.113
873.5647,305.6269,28/04/2016 13:45:26.129
896.3922,318.1604,28/04/2016 13:45:26.146
891.9137,306.2608,28/04/2016 13:45:26.163
903.6425,311.0524,28/04/2016 13:45:26.179
888.1024,316.8064,28/04/2016 13:45:26.196
749.0204,441.5692,28/04/2016 13:45:26.229
855.3058,337.573,28/04/2016 13:45:26.213
756.4933,581.0403,28/04/2016 13:45:26.246
731.0807,540.4049,28/04/2016 13:45:26.263
746.2198,585.8448,28/04/2016 13:45:26.279
747.0742,554.8431,28/04/2016 13:45:26.296
738.7253,563.9922,28/04/2016 13:45:26.312
786.3979,515.7107,28/04/2016 13:45:26.329
718.6691,570.5474,28/04/2016 13:45:26.346
740.9507,537.3699,28/04/2016 13:45:26.363
731.3127,540.4741,28/04/2016 13:45:26.396
739.3489,558.8763,28/04/2016 13:45:26.379
742.2122,541.2463,28/04/2016 13:45:26.413
729.4203,573.4875,28/04/2016 13:45:26.429
737.2489,565.6572,28/04/2016 13:45:26.446
746.1252,563.0723,28/04/2016 13:45:26.462
625.3649,828.2693,28/04/2016 13:45:26.479
827.4365,893.541,28/04/2016 13:45:27.530
937.6893,791.8342,28/04/2016 13:45:27.545
888.6174,804.6849,28/04/2016 13:45:27.562
963.1773,764.4854,28/04/2016 13:45:27.579
1249.9434,806.7057,28/04/2016 13:45:27.679
779.1228,864.4532,28/04/2016 13:45:27.695
756.8467,849.4119,28/04/2016 13:45:27.712
747.1073,919.2026,28/04/2016 13:45:27.729
748.8804,954.4132,28/04/2016 13:45:27.845
755.989,906.1453,28/04/2016 13:45:27.862
750.2144,964.7283,28/04/2016 13:45:27.879
715.377,927.1289,28/04/2016 13:45:27.912
744.779,950.8245,28/04/2016 13:45:27.896
728.2568,935.9871,28/04/2016 13:45:27.929
747.6671,904.5738,28/04/2016 13:45:27.945
722.2545,919.8291,28/04/2016 13:45:27.962
764.7416,921.3132,28/04/2016 13:45:27.978
726.6946,961.828,28/04/2016 13:45:27.995
734.1828,962.7583,28/04/2016 13:45:28.012
743.3666,948.1312,28/04/2016 13:45:28.029
771.8353,941.4779,28/04/2016 13:45:28.045
708.4326,960.5333,28/04/2016 13:45:28.062
713.4771,995.2905,28/04/2016 13:45:28.078
757.2855,964.2048,28/04/2016 13:45:28.111
737.4387,979.6722,28/04/2016 13:45:28.095
741.4676,960.8916,28/04/2016 13:45:28.128
734.1843,967.386,28/04/2016 13:45:28.145
739.1762,1007.5068,28/04/2016 13:45:28.162
723.9764,949.0251,28/04/2016 13:45:28.178
696.8809,932.7764,28/04/2016 13:45:28.195
692.8005,949.2932,28/04/2016 13:45:28.214
