BlinkType,TimeTracker
NormalBlink,2016-04-28 13:45:23.649
NormalBlink,2016-04-28 13:45:25.882
LongBlink,2016-04-28 13:45:27.579
NormalBlink,2016-04-28 13:45:27.896
NormalBlink,2016-04-28 13:45:28.595
NormalBlink,2016-04-28 13:45:28.844
LongBlink,2016-04-28 13:45:31.075
NormalBlink,2016-04-28 13:45:31.574
NormalBlink,2016-04-28 13:45:40.114
NormalBlink,2016-04-28 13:45:43.927
NormalBlink,2016-04-28 13:45:45.626
NormalBlink,2016-04-28 13:45:45.992
NormalBlink,2016-04-28 13:45:52.951
NormalBlink,2016-04-28 13:45:53.184
NormalBlink,2016-04-28 13:45:56.514
NormalBlink,2016-04-28 13:46:05.921
NormalBlink,2016-04-28 13:46:11.198
NormalBlink,2016-04-28 13:46:27.047
NormalBlink,2016-04-28 13:46:28.862
NormalBlink,2016-04-28 13:46:30.993
NormalBlink,2016-04-28 13:46:32.525
NormalBlink,2016-04-28 13:46:36.837
NormalBlink,2016-04-28 13:46:38.286
NormalBlink,2016-04-28 13:46:41.599
NormalBlink,2016-04-28 13:46:43.713
NormalBlink,2016-04-28 13:46:45.428
NormalBlink,2016-04-28 13:46:53.968
NormalBlink,2016-04-28 13:46:58.863
NormalBlink,2016-04-28 13:47:05.039
NormalBlink,2016-04-28 13:47:06.256
NormalBlink,2016-04-28 13:47:09.651
NormalBlink,2016-04-28 13:47:11.249
NormalBlink,2016-04-28 13:47:15.645
NormalBlink,2016-04-28 13:47:16.095
NormalBlink,2016-04-28 13:47:22.687
NormalBlink,2016-04-28 13:47:26.983
NormalBlink,2016-04-28 13:47:30.280
NormalBlink,2016-04-28 13:47:31.362
NormalBlink,2016-04-28 13:47:33.128
NormalBlink,2016-04-28 13:47:34.924
NormalBlink,2016-04-28 13:47:38.454
NormalBlink,2016-04-28 13:47:42.135
NormalBlink,2016-04-28 13:47:45.547
NormalBlink,2016-04-28 13:47:47.195
NormalBlink,2016-04-28 13:47:48.943
NormalBlink,2016-04-28 13:47:51.024
NormalBlink,2016-04-28 13:47:51.906
NormalBlink,2016-04-28 13:47:53.871
NormalBlink,2016-04-28 13:47:57.183
NormalBlink,2016-04-28 13:47:59.830
NormalBlink,2016-04-28 13:48:03.561
LongBlink,2016-04-28 13:48:10.869
NormalBlink,2016-04-28 13:48:18.893
NormalBlink,2016-04-28 13:48:26.052
NormalBlink,2016-04-28 13:48:27.884
NormalBlink,2016-04-28 13:48:31.880
NormalBlink,2016-04-28 13:48:35.592
NormalBlink,2016-04-28 13:48:37.156
NormalBlink,2016-04-28 13:48:38.422
NormalBlink,2016-04-28 13:48:39.838
NormalBlink,2016-04-28 13:48:41.702
NormalBlink,2016-04-28 13:48:42.801
NormalBlink,2016-04-28 13:48:44.616
NormalBlink,2016-04-28 13:48:50.176
NormalBlink,2016-04-28 13:48:51.308
NormalBlink,2016-04-28 13:48:52.257
NormalBlink,2016-04-28 13:48:54.688
NormalBlink,2016-04-28 13:48:55.853
NormalBlink,2016-04-28 13:49:04.328
NormalBlink,2016-04-28 13:49:08.273
NormalBlink,2016-04-28 13:49:11.320
NormalBlink,2016-04-28 13:49:14.451
NormalBlink,2016-04-28 13:49:15.666
NormalBlink,2016-04-28 13:49:18.529
NormalBlink,2016-04-28 13:49:27.837
LongBlink,2016-04-28 13:49:29.949
NormalBlink,2016-04-28 13:49:30.233
NormalBlink,2016-04-28 13:49:31.015
NormalBlink,2016-04-28 13:49:31.232
NormalBlink,2016-04-28 13:49:34.862
NormalBlink,2016-04-28 13:49:37.808
NormalBlink,2016-04-28 13:49:57.886
NormalBlink,2016-04-28 13:49:58.902
NormalBlink,2016-04-28 13:50:21.778
NormalBlink,2016-04-28 13:50:27.571
NormalBlink,2016-04-28 13:50:29.619
NormalBlink,2016-04-28 13:50:30.485
NormalBlink,2016-04-28 13:50:33.914
NormalBlink,2016-04-28 13:50:36.112
NormalBlink,2016-04-28 13:50:37.643
NormalBlink,2016-04-28 13:50:43.587
NormalBlink,2016-04-28 13:50:45.452
NormalBlink,2016-04-28 13:50:46.717
NormalBlink,2016-04-28 13:50:47.716
NormalBlink,2016-04-28 13:50:50.929
NormalBlink,2016-04-28 13:50:52.494
NormalBlink,2016-04-28 13:50:55.757
NormalBlink,2016-04-28 13:51:05.180
NormalBlink,2016-04-28 13:51:20.348
NormalBlink,2016-04-28 13:51:22.031
NormalBlink,2016-04-28 13:51:23.378
