BlinkType,TimeTracker
NormalBlink,2016-04-21 16:48:21.417
NormalBlink,2016-04-21 16:48:21.783
NormalBlink,2016-04-21 16:48:22.066
NormalBlink,2016-04-21 16:48:22.316
NormalBlink,2016-04-21 16:48:22.633
NormalBlink,2016-04-21 16:48:22.899
NormalBlink,2016-04-21 16:48:23.048
NormalBlink,2016-04-21 16:48:23.165
NormalBlink,2016-04-21 16:48:23.398
NormalBlink,2016-04-21 16:48:23.531
NormalBlink,2016-04-21 16:48:23.999
NormalBlink,2016-04-21 16:48:24.183
NormalBlink,2016-04-21 16:48:24.464
NormalBlink,2016-04-21 16:48:26.462
NormalBlink,2016-04-21 16:48:27.445
NormalBlink,2016-04-21 16:48:32.139
NormalBlink,2016-04-21 16:48:35.402
NormalBlink,2016-04-21 16:48:37.533
NormalBlink,2016-04-21 16:48:38.099
NormalBlink,2016-04-21 16:48:38.232
NormalBlink,2016-04-21 16:48:38.515
NormalBlink,2016-04-21 16:48:39.431
NormalBlink,2016-04-21 16:48:42.697
NormalBlink,2016-04-21 16:48:43.144
NormalBlink,2016-04-21 16:48:43.344
NormalBlink,2016-04-21 16:48:44.193
NormalBlink,2016-04-21 16:48:44.559
NormalBlink,2016-04-21 16:48:47.090
NormalBlink,2016-04-21 16:48:50.519
NormalBlink,2016-04-21 16:48:53.765
NormalBlink,2016-04-21 16:48:54.132
NormalBlink,2016-04-21 16:48:55.463
NormalBlink,2016-04-21 16:48:56.113
NormalBlink,2016-04-21 16:48:56.562
NormalBlink,2016-04-21 16:48:57.111
NormalBlink,2016-04-21 16:48:57.979
NormalBlink,2016-04-21 16:48:58.894
NormalBlink,2016-04-21 16:48:59.028
NormalBlink,2016-04-21 16:48:59.310
NormalBlink,2016-04-21 16:48:59.660
NormalBlink,2016-04-21 16:49:07.517
NormalBlink,2016-04-21 16:49:08.033
NormalBlink,2016-04-21 16:49:08.633
NormalBlink,2016-04-21 16:49:09.881
NormalBlink,2016-04-21 16:49:10.531
NormalBlink,2016-04-21 16:49:10.697
NormalBlink,2016-04-21 16:49:10.997
NormalBlink,2016-04-21 16:49:11.446
NormalBlink,2016-04-21 16:49:11.746
NormalBlink,2016-04-21 16:49:12.012
NormalBlink,2016-04-21 16:49:12.245
NormalBlink,2016-04-21 16:49:12.462
NormalBlink,2016-04-21 16:49:12.844
LongBlink,2016-04-21 16:49:13.561
NormalBlink,2016-04-21 16:49:13.694
NormalBlink,2016-04-21 16:49:13.893
NormalBlink,2016-04-21 16:49:14.210
NormalBlink,2016-04-21 16:49:14.376
NormalBlink,2016-04-21 16:49:14.476
NormalBlink,2016-04-21 16:49:14.742
NormalBlink,2016-04-21 16:49:15.092
NormalBlink,2016-04-21 16:49:15.308
NormalBlink,2016-04-21 16:49:15.825
NormalBlink,2016-04-21 16:49:16.041
NormalBlink,2016-04-21 16:49:16.174
NormalBlink,2016-04-21 16:49:16.608
NormalBlink,2016-04-21 16:49:16.908
NormalBlink,2016-04-21 16:49:17.124
NormalBlink,2016-04-21 16:49:17.224
NormalBlink,2016-04-21 16:49:17.540
NormalBlink,2016-04-21 16:49:17.690
NormalBlink,2016-04-21 16:49:18.507
NormalBlink,2016-04-21 16:49:18.972
NormalBlink,2016-04-21 16:49:19.838
NormalBlink,2016-04-21 16:49:20.603
NormalBlink,2016-04-21 16:49:21.219
NormalBlink,2016-04-21 16:49:21.386
NormalBlink,2016-04-21 16:49:21.570
NormalBlink,2016-04-21 16:49:22.018
NormalBlink,2016-04-21 16:49:22.155
NormalBlink,2016-04-21 16:49:23.224
NormalBlink,2016-04-21 16:49:23.634
NormalBlink,2016-04-21 16:49:24.699
NormalBlink,2016-04-21 16:49:25.265
NormalBlink,2016-04-21 16:49:28.162
NormalBlink,2016-04-21 16:49:28.761
NormalBlink,2016-04-21 16:49:29.012
NormalBlink,2016-04-21 16:49:29.460
NormalBlink,2016-04-21 16:49:30.759
NormalBlink,2016-04-21 16:49:32.008
NormalBlink,2016-04-21 16:49:32.624
NormalBlink,2016-04-21 16:49:36.920
NormalBlink,2016-04-21 16:49:38.601
NormalBlink,2016-04-21 16:49:39.084
NormalBlink,2016-04-21 16:49:41.764
NormalBlink,2016-04-21 16:49:41.864
NormalBlink,2016-04-21 16:49:43.329
NormalBlink,2016-04-21 16:49:45.643
NormalBlink,2016-04-21 16:49:47.708
NormalBlink,2016-04-21 16:49:49.338
NormalBlink,2016-04-21 16:49:49.621
NormalBlink,2016-04-21 16:49:52.619
NormalBlink,2016-04-21 16:49:52.886
NormalBlink,2016-04-21 16:49:52.952
NormalBlink,2016-04-21 16:49:53.018
NormalBlink,2016-04-21 16:49:56.315
NormalBlink,2016-04-21 16:49:57.364
NormalBlink,2016-04-21 16:49:58.129
NormalBlink,2016-04-21 16:50:02.524
NormalBlink,2016-04-21 16:50:07.219
NormalBlink,2016-04-21 16:50:07.419
NormalBlink,2016-04-21 16:50:18.341
NormalBlink,2016-04-21 16:50:18.457
NormalBlink,2016-04-21 16:50:18.557
NormalBlink,2016-04-21 16:50:19.290
NormalBlink,2016-04-21 16:50:20.072
NormalBlink,2016-04-21 16:50:24.650
NormalBlink,2016-04-21 16:50:25.666
NormalBlink,2016-04-21 16:50:25.783
NormalBlink,2016-04-21 16:50:25.932
NormalBlink,2016-04-21 16:50:26.166
NormalBlink,2016-04-21 16:50:26.299
