BlinkType,TimeTracker
NormalBlink,2016-04-21 18:40:13.641
NormalBlink,2016-04-21 18:40:13.724
LongBlink,2016-04-21 18:40:15.839
NormalBlink,2016-04-21 18:40:16.655
LongBlink,2016-04-21 18:40:25.045
NormalBlink,2016-04-21 18:40:25.896
LongBlink,2016-04-21 18:40:36.783
NormalBlink,2016-04-21 18:40:36.883
NormalBlink,2016-04-21 18:40:37.733
NormalBlink,2016-04-21 18:40:38.331
LongBlink,2016-04-21 18:40:39.513
NormalBlink,2016-04-21 18:40:39.563
NormalBlink,2016-04-21 18:40:39.647
NormalBlink,2016-04-21 18:40:40.512
NormalBlink,2016-04-21 18:40:40.612
NormalBlink,2016-04-21 18:40:40.778
NormalBlink,2016-04-21 18:40:40.895
NormalBlink,2016-04-21 18:40:41.045
NormalBlink,2016-04-21 18:40:41.179
NormalBlink,2016-04-21 18:40:41.261
NormalBlink,2016-04-21 18:40:41.394
NormalBlink,2016-04-21 18:40:41.477
NormalBlink,2016-04-21 18:40:41.577
NormalBlink,2016-04-21 18:40:41.661
NormalBlink,2016-04-21 18:40:41.745
NormalBlink,2016-04-21 18:40:41.844
NormalBlink,2016-04-21 18:40:42.127
NormalBlink,2016-04-21 18:40:42.494
NormalBlink,2016-04-21 18:40:42.676
NormalBlink,2016-04-21 18:40:42.876
NormalBlink,2016-04-21 18:40:43.042
NormalBlink,2016-04-21 18:40:43.126
NormalBlink,2016-04-21 18:40:43.309
NormalBlink,2016-04-21 18:40:43.425
NormalBlink,2016-04-21 18:40:43.925
NormalBlink,2016-04-21 18:40:44.091
NormalBlink,2016-04-21 18:40:44.291
NormalBlink,2016-04-21 18:40:44.657
NormalBlink,2016-04-21 18:40:44.924
NormalBlink,2016-04-21 18:40:45.040
NormalBlink,2016-04-21 18:40:45.157
NormalBlink,2016-04-21 18:40:45.323
NormalBlink,2016-04-21 18:40:45.423
NormalBlink,2016-04-21 18:40:45.606
NormalBlink,2016-04-21 18:40:45.756
NormalBlink,2016-04-21 18:40:45.889
NormalBlink,2016-04-21 18:40:46.239
NormalBlink,2016-04-21 18:40:46.488
NormalBlink,2016-04-21 18:40:46.555
