BlinkType,TimeTracker
NormalBlink,2016-04-21 19:34:16.057
NormalBlink,2016-04-21 19:34:16.157
NormalBlink,2016-04-21 19:34:16.257
NormalBlink,2016-04-21 19:34:16.340
NormalBlink,2016-04-21 19:34:16.723
NormalBlink,2016-04-21 19:34:17.092
NormalBlink,2016-04-21 19:34:17.323
NormalBlink,2016-04-21 19:34:17.872
NormalBlink,2016-04-21 19:34:17.989
NormalBlink,2016-04-21 19:34:18.688
NormalBlink,2016-04-21 19:34:18.854
NormalBlink,2016-04-21 19:34:19.204
LongBlink,2016-04-21 19:34:20.853
NormalBlink,2016-04-21 19:34:21.236
LongBlink,2016-04-21 19:34:22.417
LongBlink,2016-04-21 19:34:23.366
NormalBlink,2016-04-21 19:34:23.532
NormalBlink,2016-04-21 19:34:24.364
NormalBlink,2016-04-21 19:34:24.531
NormalBlink,2016-04-21 19:34:24.997
NormalBlink,2016-04-21 19:34:25.064
NormalBlink,2016-04-21 19:34:25.298
NormalBlink,2016-04-21 19:34:25.430
NormalBlink,2016-04-21 19:34:25.847
NormalBlink,2016-04-21 19:34:25.931
NormalBlink,2016-04-21 19:34:26.081
NormalBlink,2016-04-21 19:34:26.314
NormalBlink,2016-04-21 19:34:26.497
NormalBlink,2016-04-21 19:34:26.630
NormalBlink,2016-04-21 19:34:27.196
NormalBlink,2016-04-21 19:34:27.270
NormalBlink,2016-04-21 19:34:27.712
NormalBlink,2016-04-21 19:34:27.962
NormalBlink,2016-04-21 19:34:28.128
NormalBlink,2016-04-21 19:34:28.261
NormalBlink,2016-04-21 19:34:28.395
NormalBlink,2016-04-21 19:34:28.478
LongBlink,2016-04-21 19:34:30.342
NormalBlink,2016-04-21 19:34:31.341
LongBlink,2016-04-21 19:34:32.193
NormalBlink,2016-04-21 19:34:32.340
NormalBlink,2016-04-21 19:34:32.490
NormalBlink,2016-04-21 19:34:32.806
NormalBlink,2016-04-21 19:34:32.973
NormalBlink,2016-04-21 19:34:33.189
NormalBlink,2016-04-21 19:34:33.339
NormalBlink,2016-04-21 19:34:33.688
NormalBlink,2016-04-21 19:34:33.788
NormalBlink,2016-04-21 19:34:33.905
NormalBlink,2016-04-21 19:34:33.988
NormalBlink,2016-04-21 19:34:34.188
NormalBlink,2016-04-21 19:34:34.487
NormalBlink,2016-04-21 19:34:34.953
NormalBlink,2016-04-21 19:34:35.336
NormalBlink,2016-04-21 19:34:35.453
NormalBlink,2016-04-21 19:34:35.619
NormalBlink,2016-04-21 19:34:35.720
NormalBlink,2016-04-21 19:34:35.819
NormalBlink,2016-04-21 19:34:36.136
LongBlink,2016-04-21 19:34:36.985
NormalBlink,2016-04-21 19:34:37.519
NormalBlink,2016-04-21 19:34:37.984
NormalBlink,2016-04-21 19:34:38.333
NormalBlink,2016-04-21 19:34:38.416
NormalBlink,2016-04-21 19:34:38.666
NormalBlink,2016-04-21 19:34:38.899
NormalBlink,2016-04-21 19:34:39.268
NormalBlink,2016-04-21 19:34:39.498
NormalBlink,2016-04-21 19:34:39.832
NormalBlink,2016-04-21 19:34:40.015
NormalBlink,2016-04-21 19:34:40.148
NormalBlink,2016-04-21 19:34:40.314
NormalBlink,2016-04-21 19:34:40.547
NormalBlink,2016-04-21 19:34:41.097
NormalBlink,2016-04-21 19:34:41.414
NormalBlink,2016-04-21 19:34:41.513
NormalBlink,2016-04-21 19:34:41.563
NormalBlink,2016-04-21 19:34:41.779
NormalBlink,2016-04-21 19:34:42.162
NormalBlink,2016-04-21 19:34:42.512
NormalBlink,2016-04-21 19:34:42.579
NormalBlink,2016-04-21 19:34:43.229
NormalBlink,2016-04-21 19:34:43.345
NormalBlink,2016-04-21 19:34:43.612
NormalBlink,2016-04-21 19:34:43.811
NormalBlink,2016-04-21 19:34:44.245
NormalBlink,2016-04-21 19:34:44.827
NormalBlink,2016-04-21 19:34:45.043
NormalBlink,2016-04-21 19:34:45.309
NormalBlink,2016-04-21 19:34:45.593
NormalBlink,2016-04-21 19:34:45.810
NormalBlink,2016-04-21 19:34:46.109
NormalBlink,2016-04-21 19:34:46.327
NormalBlink,2016-04-21 19:34:47.474
NormalBlink,2016-04-21 19:34:47.891
NormalBlink,2016-04-21 19:34:48.259
NormalBlink,2016-04-21 19:34:48.656
NormalBlink,2016-04-21 19:34:49.555
NormalBlink,2016-04-21 19:34:49.639
NormalBlink,2016-04-21 19:34:50.237
NormalBlink,2016-04-21 19:34:50.287
NormalBlink,2016-04-21 19:34:50.754
NormalBlink,2016-04-21 19:34:52.235
NormalBlink,2016-04-21 19:34:52.468
NormalBlink,2016-04-21 19:34:52.720
NormalBlink,2016-04-21 19:34:52.818
NormalBlink,2016-04-21 19:34:52.969
NormalBlink,2016-04-21 19:34:53.400
NormalBlink,2016-04-21 19:34:53.866
NormalBlink,2016-04-21 19:34:54.332
NormalBlink,2016-04-21 19:34:54.582
NormalBlink,2016-04-21 19:34:54.850
NormalBlink,2016-04-21 19:34:55.134
NormalBlink,2016-04-21 19:34:55.748
NormalBlink,2016-04-21 19:34:55.964
NormalBlink,2016-04-21 19:34:56.448
NormalBlink,2016-04-21 19:34:56.581
NormalBlink,2016-04-21 19:34:56.930
NormalBlink,2016-04-21 19:34:57.396
NormalBlink,2016-04-21 19:34:57.679
NormalBlink,2016-04-21 19:34:57.879
NormalBlink,2016-04-21 19:34:58.145
LongBlink,2016-04-21 19:34:58.794
NormalBlink,2016-04-21 19:34:59.111
NormalBlink,2016-04-21 19:34:59.378
NormalBlink,2016-04-21 19:34:59.593
NormalBlink,2016-04-21 19:34:59.710
NormalBlink,2016-04-21 19:35:00.559
NormalBlink,2016-04-21 19:35:01.142
NormalBlink,2016-04-21 19:35:01.259
NormalBlink,2016-04-21 19:35:01.643
NormalBlink,2016-04-21 19:35:02.278
NormalBlink,2016-04-21 19:35:02.392
NormalBlink,2016-04-21 19:35:02.608
NormalBlink,2016-04-21 19:35:02.807
NormalBlink,2016-04-21 19:35:03.040
NormalBlink,2016-04-21 19:35:03.989
LongBlink,2016-04-21 19:35:04.739
NormalBlink,2016-04-21 19:35:04.955
NormalBlink,2016-04-21 19:35:05.321
NormalBlink,2016-04-21 19:35:06.370
NormalBlink,2016-04-21 19:35:06.570
NormalBlink,2016-04-21 19:35:07.185
NormalBlink,2016-04-21 19:35:07.851
NormalBlink,2016-04-21 19:35:08.085
NormalBlink,2016-04-21 19:35:08.484
NormalBlink,2016-04-21 19:35:08.667
NormalBlink,2016-04-21 19:35:08.985
NormalBlink,2016-04-21 19:35:09.783
NormalBlink,2016-04-21 19:35:10.166
NormalBlink,2016-04-21 19:35:10.284
NormalBlink,2016-04-21 19:35:10.498
NormalBlink,2016-04-21 19:35:10.915
NormalBlink,2016-04-21 19:35:11.166
NormalBlink,2016-04-21 19:35:11.414
NormalBlink,2016-04-21 19:35:12.130
NormalBlink,2016-04-21 19:35:12.563
NormalBlink,2016-04-21 19:35:12.962
NormalBlink,2016-04-21 19:35:13.245
NormalBlink,2016-04-21 19:35:13.695
NormalBlink,2016-04-21 19:35:13.845
NormalBlink,2016-04-21 19:35:14.244
NormalBlink,2016-04-21 19:35:14.461
NormalBlink,2016-04-21 19:35:15.113
NormalBlink,2016-04-21 19:35:15.493
NormalBlink,2016-04-21 19:35:15.826
NormalBlink,2016-04-21 19:35:15.992
NormalBlink,2016-04-21 19:35:16.209
NormalBlink,2016-04-21 19:35:16.350
NormalBlink,2016-04-21 19:35:16.625
NormalBlink,2016-04-21 19:35:17.074
NormalBlink,2016-04-21 19:35:17.674
NormalBlink,2016-04-21 19:35:18.507
NormalBlink,2016-04-21 19:35:19.140
NormalBlink,2016-04-21 19:35:20.188
NormalBlink,2016-04-21 19:35:20.305
NormalBlink,2016-04-21 19:35:20.422
NormalBlink,2016-04-21 19:35:21.055
NormalBlink,2016-04-21 19:35:21.187
NormalBlink,2016-04-21 19:35:21.672
NormalBlink,2016-04-21 19:35:21.853
NormalBlink,2016-04-21 19:35:22.036
NormalBlink,2016-04-21 19:35:22.270
NormalBlink,2016-04-21 19:35:24.467
NormalBlink,2016-04-21 19:35:24.635
NormalBlink,2016-04-21 19:35:24.916
NormalBlink,2016-04-21 19:35:25.482
NormalBlink,2016-04-21 19:35:26.215
NormalBlink,2016-04-21 19:35:27.064
NormalBlink,2016-04-21 19:35:27.447
NormalBlink,2016-04-21 19:35:28.046
NormalBlink,2016-04-21 19:35:28.596
NormalBlink,2016-04-21 19:35:28.829
NormalBlink,2016-04-21 19:35:29.128
NormalBlink,2016-04-21 19:35:30.294
NormalBlink,2016-04-21 19:35:30.577
NormalBlink,2016-04-21 19:35:30.827
NormalBlink,2016-04-21 19:35:30.926
NormalBlink,2016-04-21 19:35:31.143
NormalBlink,2016-04-21 19:35:31.842
NormalBlink,2016-04-21 19:35:32.058
NormalBlink,2016-04-21 19:35:33.390
NormalBlink,2016-04-21 19:35:34.356
NormalBlink,2016-04-21 19:35:34.489
NormalBlink,2016-04-21 19:35:34.755
NormalBlink,2016-04-21 19:35:34.939
NormalBlink,2016-04-21 19:35:35.839
NormalBlink,2016-04-21 19:35:36.571
NormalBlink,2016-04-21 19:35:36.805
NormalBlink,2016-04-21 19:35:37.022
NormalBlink,2016-04-21 19:35:37.238
LongBlink,2016-04-21 19:35:38.619
NormalBlink,2016-04-21 19:35:38.718
NormalBlink,2016-04-21 19:35:38.901
NormalBlink,2016-04-21 19:35:39.101
NormalBlink,2016-04-21 19:35:39.169
NormalBlink,2016-04-21 19:35:39.251
NormalBlink,2016-04-21 19:35:39.351
NormalBlink,2016-04-21 19:35:39.434
NormalBlink,2016-04-21 19:35:39.702
NormalBlink,2016-04-21 19:35:39.884
NormalBlink,2016-04-21 19:35:40.184
NormalBlink,2016-04-21 19:35:40.383
NormalBlink,2016-04-21 19:35:40.483
NormalBlink,2016-04-21 19:35:40.783
NormalBlink,2016-04-21 19:35:41.116
NormalBlink,2016-04-21 19:35:41.302
NormalBlink,2016-04-21 19:35:42.298
NormalBlink,2016-04-21 19:35:42.866
NormalBlink,2016-04-21 19:35:42.965
NormalBlink,2016-04-21 19:35:43.147
NormalBlink,2016-04-21 19:35:43.231
NormalBlink,2016-04-21 19:35:43.330
NormalBlink,2016-04-21 19:35:43.496
NormalBlink,2016-04-21 19:35:43.580
NormalBlink,2016-04-21 19:35:43.996
