CRX,CRY
897.6022,580.7667
873.9031,561.9302
879.1637,576.5638
881.8887,591.4309
878.9054,578.3678
865.7352,585.8256
895.4059,594.0896
883.1348,551.4065
894.5505,600.294
866.2702,584.7874
886.9391,603.8687
880.8971,581.5885
896.4633,587.0651
878.3241,567.0159
888.5158,574.8314
895.6044,599.7336
892.8732,587.3451
878.7396,585.283
882.5427,568.7701
881.5757,577.2097
876.6274,586.2465
890.9041,567.38
868.3868,557.3273
880.8506,590.6797
867.5515,578.6119
870.2654,579.1022
874.5535,579.2397
731.4119,373.2158
872.606,578.3201
853.4154,556.1375
855.1254,540.5916
884.7737,586.8352
822.8873,549.4374
843.1023,530.1668
879.3262,582.0256
885.8107,580.7385
877.9073,587.6949
827.282,390.631
826.8307,215.2308
890.4354,186.5515
734.9725,346.0559
764.863,311.7501
734.6561,347.0093
720.7055,347.1714
-85.9693,275.4509
606.0982,214.1413
767.7679,-60.5544
687.4758,134.9011
628.6111,364.2188
657.9517,362.3506
779.5021,375.9521
777.3634,342.2963
767.9045,338.7079
751.2699,361.9769
754.6827,337.4867
750.0183,329.4827
734.6666,337.7612
745.3773,339.9364
744.3058,339.6069
790.7415,349.076
856.1801,340.6718
852.7675,335.3541
825.0114,351.4927
826.3351,342.4125
835.8139,366.4119
832.007,347.787
844.8988,343.6018
919.0268,361.5288
906.8719,371.2224
906.2809,328.8134
911.6312,346.27
926.1194,336.3492
904.17,339.3718
902.6244,370.0742
706.9002,430.8462
731.5601,444.9378
700.8405,420.5318
702.0583,423.7029
702.8966,415.7766
703.075,412.3676
694.7843,420.8717
648.3152,421.2415
663.2452,420.4774
661.9933,394.8993
663.6753,415.485
667.7269,412.4615
658.5986,420.6041
683.662,410.692
659.6863,401.6201
672.3432,425.2455
756.9749,420.9596
729.2595,407.3768
728.1909,439.1426
737.4617,434.9962
718.1326,412.6174
721.4106,418.0029
744.1401,421.5416
728.3536,402.6242
771.4938,419.5669
785.0995,409.8885
777.6156,426.6579
782.2762,416.1611
756.9142,386.5834
858.4753,435.5529
766.7528,416.4089
874.3167,427.3139
867.2317,444.8047
1001.1761,418.6176
986.4215,444.8549
984.9,427.2547
993.3033,438.502
976.0812,426.7859
977.5111,433.4805
992.0049,424.0313
826.6393,455.1103
629.5765,526.4245
616.7585,525.1571
648.6113,497.2098
629.0105,507.5181
642.9463,511.3126
644.8036,498.3282
668.4497,498.2321
648.8826,505.037
658.484,518.9941
680.3514,462.7141
667.8322,482.051
667.1349,490.5441
660.0132,494.1081
661.2358,493.9019
657.7219,493.9221
656.1907,480.0509
657.6832,502.6046
649.8987,492.1836
803.1703,504.5187
755.2026,492.6193
802.2301,495.3484
808.301,498.3758
786.6077,502.8965
788.8632,496.0765
778.9896,482.515
780.8026,460.1996
781.5984,490.2536
776.056,493.9167
771.4248,501.8551
802.3574,485.0387
890.4142,502.9958
909.2072,487.1926
904.8888,489.7779
901.7395,468.3589
887.5707,479.0904
893.311,494.0107
873.9631,486.796
896.0607,479.2681
895.3546,495.7572
886.953,481.8078
889.2889,495.8825
881.0713,465.0306
940.4712,474.4566
957.1058,476.7393
954.0288,447.7399
955.0137,484.546
933.4506,494.5396
938.442,497.3958
951.0031,480.6246
946.1665,494.5943
1026.2869,486.8694
1010.7354,494.1224
1007.5004,486.967
993.5532,491.5319
1014.9772,493.7083
1013.826,494.786
855.7041,509.0313
598.6801,518.4509
606.7289,546.9847
651.9954,532.3683
659.5219,539.5908
657.8231,528.293
639.6249,528.3174
662.4006,536.1591
661.3586,525.9333
630.3298,524.6962
644.7385,516.8084
665.7509,523.8301
657.7134,515.5861
682.3486,539.4373
729.7494,533.0895
729.3934,529.269
731.2277,528.9443
700.3723,536.3026
723.076,541.1173
718.7579,532.5044
901.3424,515.7595
889.6261,505.2452
874.3466,524.4337
867.5355,505.3348
864.3326,516.8748
871.9796,519.1346
856.4447,516.0105
869.7236,520.514
868.1672,510.798
819.821,501.8797
820.7252,507.8416
832.5588,525.3291
821.8718,522.3787
818.7571,522.0005
816.9854,526.6309
830.9112,516.0364
831.6581,535.2485
836.0118,536.5001
958.0967,510.3007
967.7679,523.5542
957.6454,517.2576
927.2676,512.667
938.3521,501.9905
943.194,521.1445
942.1644,513.421
938.2864,523.1534
956.6617,498.2361
937.4484,527.9279
1020.8035,498.124
1007.0759,510.4119
1005.517,511.527
992.4504,497.3187
991.7478,518.2403
1000.8251,496.2261
988.1235,515.0498
995.3422,516.0207
981.9101,527.0903
866.8882,544.2308
660.1124,551.8287
658.0508,541.2576
665.5614,560.9677
662.8616,556.4457
685.5074,561.3696
666.8127,552.8304
642.5693,564.3008
644.6613,559.682
633.8989,562.7358
629.3429,578.1582
632.7595,547.1096
649.6803,536.3993
630.6989,560.8793
643.793,531.7505
653.2408,545.9427
648.4451,557.3348
657.2973,556.1438
724.6017,557.2802
719.35,550.2886
713.9827,553.4359
689.8546,542.8735
756.1546,548.3687
792.1099,541.2375
786.0675,548.3623
782.4911,552.1309
781.3362,542.8708
775.4044,539.303
781.4209,550.7547
763.8846,553.1749
789.4678,532.7725
826.446,548.9781
852.8324,537.696
870.8342,541.5596
865.8522,550.4075
855.4828,552.4357
834.464,552.1101
851.3556,571.6118
972.0073,488.3669
924.1162,457.6061
984.6514,513.9202
976.6635,526.9828
952.3746,517.5654
940.9817,512.396
954.2673,510.9398
948.8329,478.0234
940.7834,495.567
948.0465,496.9649
943.5079,481.1471
922.8215,538.5394
820.8507,542.581
640.6158,558.7869
607.3512,555.7632
623.4808,550.9918
630.4603,546.7783
663.1416,568.5942
637.998,550.8024
641.8346,531.4006
650.8706,553.5769
649.2847,546.7348
645.6432,534.4826
640.6961,549.9001
634.4495,559.5688
623.6976,555.2269
626.1721,580.0958
621.7767,572.8595
622.7367,572.1033
621.6865,573.3342
625.2405,561.2862
627.8899,570.4152
682.9312,581.9338
710.197,548.2941
709.2171,573.2422
691.1498,557.6713
704.3058,562.9886
702.5168,564.1401
694.6714,556.7236
704.5052,529.1194
689.8394,541.9007
724.4655,562.5958
768.9146,548.3965
809.759,545.7398
811.0554,558.9872
816.5948,544.5602
803.5229,555.1923
807.7494,555.2454
799.0907,552.5845
819.7382,535.0391
807.5908,562.8563
805.6099,562.5812
841.1032,566.7408
867.5408,568.5156
853.4102,554.6017
855.864,549.2039
867.2592,541.9326
864.048,561.0258
863.1039,553.5443
864.1404,545.7488
856.7784,558.9138
855.4837,552.6625
956.3051,545.4659
955.5818,544.6802
936.6714,551.3007
942.3871,553.7018
941.4458,555.2173
935.2961,553.9296
937.3575,541.8228
841.0881,566.1852
828.6232,559.6907
826.0267,553.9197
831.9777,547.8273
819.9415,555.7878
821.0925,554.7583
818.106,560.7244
826.5356,556.985
815.9393,548.1266
811.8469,551.5483
824.7622,564.395
821.2792,562.0085
810.5412,550.5123
815.004,554.7844
661.0386,601.1122
654.1725,589.4
660.6188,604.1823
648.5345,604.4511
609.5137,607.375
615.0378,599.1633
616.8559,595.6227
635.2028,597.5416
626.4514,591.8312
624.1165,596.8314
626.3999,605.9601
619.0556,616.4597
684.9547,598.8867
755.858,591.3871
758.3049,595.8095
754.2814,588.8378
743.6835,599.0707
744.8339,590.67
742.3744,585.641
746.0179,595.1014
749.488,594.8818
765.4723,581.9244
857.114,568.9153
881.3501,575.2562
858.1031,571.5991
911.0657,575.5063
989.2823,554.0538
990.006,544.4648
988.75,531.9997
996.0615,537.2958
971.0559,528.1501
962.6036,529.3957
932.7919,564.4171
925.9862,545.5958
915.1496,558.076
937.7709,558.9608
936.7833,554.1345
935.3369,548.8577
918.7913,552.6315
915.8489,559.6156
926.8394,548.7826
926.3196,558.2881
834.6394,603.254
805.0123,591.5315
793.804,590.5787
805.575,609.6268
784.653,596.4448
801.8688,580.2229
805.5291,591.0023
804.9697,586.5491
792.9773,598.7809
808.1499,585.9672
810.8334,594.8065
799.3168,589.4698
849.4301,589.6929
894.7189,599.4403
892.5072,594.231
894.2063,596.842
885.271,592.9826
899.2009,592.186
895.9669,593.2056
880.2551,590.1055
894.3639,592.8297
886.6913,601.1272
898.3097,598.9316
892.7196,608.2303
868.8181,606.5109
714.6008,638.2488
630.3189,626.3456
639.91,621.4045
655.3291,639.1681
659.2015,647.7573
668.0201,630.1416
652.6268,637.207
655.6201,645.7382
656.6066,636.6782
646.9602,634.6636
658.3894,636.5134
645.13,639.4696
624.0592,642.0632
628.8759,622.6455
627.5133,657.4201
623.0187,649.9015
614.5281,646.1201
754.9827,630.6803
853.7993,620.9791
844.5768,621.1641
807.8854,634.3338
805.1428,631.5717
817.6643,615.4068
801.0996,623.5353
806.7421,623.7496
806.7775,612.9054
822.1768,630.1711
811.2404,622.8895
814.603,626.2831
807.6864,633.6763
