BlinkType,TimeTracker
NormalBlink,2016-04-28 12:02:02.750
NormalBlink,2016-04-28 12:02:12.005
LongBlink,2016-04-28 12:02:29.437
LongBlink,2016-04-28 12:02:31.268
NormalBlink,2016-04-28 12:02:32.450
NormalBlink,2016-04-28 12:02:41.141
NormalBlink,2016-04-28 12:02:41.274
NormalBlink,2016-04-28 12:02:42.939
NormalBlink,2016-04-28 12:03:00.120
NormalBlink,2016-04-28 12:03:04.765
NormalBlink,2016-04-28 12:03:10.343
NormalBlink,2016-04-28 12:03:16.453
NormalBlink,2016-04-28 12:03:18.650
NormalBlink,2016-04-28 12:03:26.610
NormalBlink,2016-04-28 12:03:30.788
NormalBlink,2016-04-28 12:03:52.431
NormalBlink,2016-04-28 12:04:11.677
NormalBlink,2016-04-28 12:04:13.075
NormalBlink,2016-04-28 12:04:15.922
NormalBlink,2016-04-28 12:04:31.538
NormalBlink,2016-04-28 12:04:33.253
LongBlink,2016-04-28 12:04:37.683
NormalBlink,2016-04-28 12:04:40.983
LongBlink,2016-04-28 12:04:48.137
LongBlink,2016-04-28 12:04:48.903
NormalBlink,2016-04-28 12:04:56.712
NormalBlink,2016-04-28 12:05:21.251
NormalBlink,2016-04-28 12:05:21.418
NormalBlink,2016-04-28 12:05:39.448
NormalBlink,2016-04-28 12:05:40.947
NormalBlink,2016-04-28 12:05:49.305
NormalBlink,2016-04-28 12:05:58.694
NormalBlink,2016-04-28 12:06:11.014
NormalBlink,2016-04-28 12:06:15.360
NormalBlink,2016-04-28 12:06:15.609
NormalBlink,2016-04-28 12:06:16.491
LongBlink,2016-04-28 12:06:39.551
NormalBlink,2016-04-28 12:06:46.609
LongBlink,2016-04-28 12:06:48.790
NormalBlink,2016-04-28 12:06:49.156
LongBlink,2016-04-28 12:06:51.504
LongBlink,2016-04-28 12:06:53.202
