CRX,CRY
907.6315,605.5594
901.8932,638.4722
903.6317,620.3705
933.7704,611.1012
915.1824,645.8287
912.3483,619.9599
905.9264,622.6195
905.2186,621.0245
888.4446,714.5044
810.0618,962.9454
796.0648,1020.2336
798.6025,1038.2671
783.691,1029.7454
773.6171,1023.5866
785.6805,1016.7135
800.5683,1003.2913
804.7452,1009.7812
792.1228,1012.8872
785.8693,1015.8652
803.2471,1018.3254
799.781,1015.9063
794.0594,999.3741
793.1638,1018.3302
788.5659,1002.4718
778.7728,1001.449
771.3695,1027.4882
756.162,1005.9238
765.4635,1012.5024
775.0381,1020.3308
757.6421,1010.6846
772.774,1010.2484
798.4285,1027.6567
760.7426,1029.2854
771.1622,1029.0791
787.4226,987.3995
793.4878,1014.5648
783.1144,1009.908
791.1183,1028.6975
777.527,1018.4012
778.2224,1014.812
808.9342,904.3424
804.7434,550.0851
773.3303,537.1827
791.5542,545.1685
772.1821,579.8761
783.3845,560.4139
817.8749,565.9112
795.8813,574.8383
772.6558,560.1902
786.0728,570.0244
723.0538,434.4168
668.7975,311.2614
693.6423,331.7411
695.2129,311.0889
715.1331,316.9007
688.2994,323.2344
670.8099,264.153
665.7657,196.4962
667.4208,215.1873
678.9196,214.7852
675.0355,205.2943
674.4425,200.9863
651.9669,201.5031
661.2274,188.3235
616.7673,153.5819
633.7479,157.9228
641.4071,178.1338
624.9774,163.7888
625.2297,162.4663
617.7208,186.9849
653.4875,177.499
642.464,175.1504
633.8984,166.2915
665.9343,141.5799
642.0966,157.9555
808.1542,155.6679
826.6882,158.0007
858.5408,145.5468
849.6203,167.69
827.9977,152.0098
844.123,139.6429
820.5711,140.8267
843.8262,161.4738
812.0933,140.1772
810.8031,174.9724
965.6107,168.541
957.8263,146.632
997.5414,121.5554
982.433,156.2459
997.2241,182.7731
969.1437,121.9632
964.7831,147.5954
981.3881,140.3328
938.4621,132.0377
717.3723,189.9729
580.525,166.1426
610.4609,153.1843
616.03,179.2688
617.9421,194.0501
610.3627,182.0037
603.6366,188.4702
629.7772,192.0211
645.9819,193.3999
596.5444,214.8623
598.9182,182.2339
618.2208,174.9791
635.6287,176.2089
754.0605,192.8285
884.2089,165.913
877.0135,172.6897
894.3682,155.3703
871.4363,190.9212
874.5409,174.1278
863.4313,193.9692
878.0599,157.4977
877.172,154.2571
857.6833,168.0137
874.9615,176.8223
952.8539,185.6488
970.0726,201.651
964.2377,177.4122
951.7513,191.725
979.7109,185.1102
870.0707,187.9009
621.7019,249.9846
608.0865,250.8021
602.5272,226.356
597.906,217.711
622.1676,273.9305
607.5815,263.1259
586.5806,225.1333
604.0287,233.3582
625.7169,223.3642
627.7958,253.8524
614.0934,227.1284
613.1624,249.3071
615.2999,234.8782
658.8933,253.9376
734.2264,253.6952
733.2823,249.7927
746.2572,240.7696
758.1625,229.49
779.5798,237.4333
801.5305,234.1515
908.099,229.7049
927.99,225.5314
893.2767,243.8809
931.0352,241.3158
896.6152,251.5932
900.3455,242.4539
912.1765,230.5969
