CRX,CRY
887.2659,472.8976
973.3268,468.9433
853.1827,504.3177
893.0319,529.1398
880.4503,507.452
871.7537,505.1927
852.8275,457.0681
869.5647,479.9627
873.8376,483.3731
884.3119,482.0548
872.3327,471.1747
877.1384,488.4293
864.71,485.6249
852.6445,475.6732
852.8102,461.6797
851.0297,480.2065
852.5425,459.2294
850.5018,466.1212
851.683,478.1606
860.8519,478.1846
848.1852,481.9664
847.9683,480.7844
845.2054,454.7144
859.071,485.3185
852.4543,448.8915
844.1959,462.7997
850.873,454.1732
848.6956,486.0657
837.0717,469.1643
845.5243,479.2141
823.4319,363.1718
817.9294,231.9887
830.2845,212.9471
818.7924,190.9924
820.5277,200.1347
826.8229,199.5289
818.0472,228.6915
827.0837,220.0639
828.3136,210.788
819.1785,210.0992
777.55,163.1558
659.2421,128.8194
575.7617,131.5434
574.1726,132.9615
568.5237,122.4672
616.7961,127.0407
589.5814,141.0543
592.6082,147.3333
594.6367,135.8697
589.0945,117.427
587.683,123.8996
636.1479,99.2475
778.4508,113.478
807.3405,122.1176
817.969,119.3263
797.8176,127.4527
809.8281,127.1682
796.2629,83.3304
776.83,115.9519
808.7053,112.352
800.6731,104.6294
797.1973,105.3406
818.1878,98.6807
888.9404,115.4845
914.8879,127.4765
919.1433,80.0049
933.9592,114.0909
921.541,106.1891
720.9572,121.0227
650.1376,129.0579
642.5499,130.4974
650.8185,146.4852
641.3887,151.0339
655.9954,151.2065
654.4496,148.7459
665.3802,144.4095
666.7474,144.7762
667.8142,158.705
647.7113,152.604
659.2916,167.4388
642.6285,145.6737
656.6462,295.7854
645.7542,266.264
649.1101,274.9731
649.1119,274.8493
649.2989,270.9504
667.4236,275.731
667.3723,299.8288
634.1564,271.2574
662.2272,277.8048
663.9131,291.2283
650.9602,301.9543
660.6007,260.8247
664.6592,292.412
698.3352,627.4764
701.7906,630.2551
697.9255,627.8125
690.458,637.4122
684.4297,634.9316
681.4869,616.2783
688.9753,639.0349
674.9833,639.0822
681.641,641.4907
689.2504,632.9698
694.854,609.7484
692.8783,621.0746
694.3902,631.023
682.9343,632.0057
703.3898,641.5665
696.7271,635.334
694.2529,640.6847
677.3097,636.0228
694.9183,627.4094
686.9962,622.7477
768.1402,647.5077
870.5613,649.9294
903.7457,644.063
913.3641,643.061
905.1008,648.777
899.2002,645.7632
909.3219,644.8007
899.3804,656.9246
894.6176,637.3783
901.1383,656.9375
909.1366,657.5894
702.6998,750.9722
625.3008,762.1071
624.5623,749.9547
610.0102,767.8073
620.8256,766.9795
614.3055,776.3262
631.7864,786.7798
616.0751,762.3469
