CRX,CRY,IsFixated,State,TimeStamp, ,Result
820.4683, 533.6511,TRUE,7,43:14.7,,Fixation
829.6989, 519.4327,TRUE,7,43:14.7,,Fixation
833.2062, 530.4078,TRUE,7,43:14.7,,Fixation
825.8166, 535.3129,TRUE,7,43:14.7,,Fixation
885.3569, 545.2267,TRUE,7,43:14.7,,Fixation
862.3344, 522.359,TRUE,7,43:14.8,,Fixation
869.6324, 526.5151,TRUE,7,43:14.8,,Fixation
867.8595, 508.14,TRUE,7,43:14.8,,Fixation
861.2272, 515.4532,TRUE,7,43:14.8,,Fixation
858.9663, 525.3282,TRUE,7,43:14.8,,Fixation
855.5817, 528.7438,TRUE,7,43:14.9,,Fixation
855.9893, 542.1096,TRUE,7,43:14.9,,Fixation
857.6836, 504.589,TRUE,7,43:14.9,,Fixation
863.7554, 526.0593,TRUE,7,43:14.9,,Fixation
858.6458, 513.4241,TRUE,7,43:14.9,,Fixation
870.0264, 516.6221,TRUE,7,43:15.0,,Fixation
854.369, 517.9176,TRUE,7,43:15.0,,Fixation
868.6632, 529.0964,TRUE,7,43:15.1,,Fixation
861.0488, 506.4933,TRUE,7,43:15.1,,Fixation
848.1143, 518.7328,TRUE,7,43:15.0,,Fixation
861.0573, 521.017,TRUE,7,43:15.1,,Fixation
856.4985, 516.8552,TRUE,7,43:15.1,,Fixation
861.6292, 500.83,TRUE,7,43:15.1,,Fixation
726.7993, 481.86,TRUE,7,43:15.2,,Fixation
664.7913, 490.9076,FALSE,7,43:15.2,,Saccade
673.7693, 478.8041,FALSE,7,43:15.2,,Saccade
683.4819, 492.0593,FALSE,7,43:15.2,,Saccade
669.3936, 486.1604,FALSE,7,43:15.3,,Saccade
673.3401, 517.8482,FALSE,7,43:15.3,,Saccade
674.518, 486.3334,FALSE,7,43:15.3,,Saccade
665.6302, 496.2131,TRUE,7,43:15.3,,Fixation
670.9949, 479.464,TRUE,7,43:15.3,,Fixation
688.4254, 475.3653,TRUE,7,43:15.4,,Fixation
675.319, 488.462,TRUE,7,43:15.4,,Fixation
672.9192, 494.0814,TRUE,7,43:15.4,,Fixation
678.3961, 503.0171,TRUE,7,43:15.5,,Fixation
673.022, 495.5067,TRUE,7,43:15.5,,Fixation
671.1582, 502.8509,TRUE,7,43:15.5,,Fixation
685.5436, 495.1241,TRUE,7,43:15.5,,Fixation
686.0847, 492.3275,TRUE,7,43:15.5,,Fixation
682.9683, 471.7374,TRUE,7,43:15.5,,Fixation
688.6187, 518.3265,TRUE,7,43:15.6,,Fixation
679.1691, 499.3745,TRUE,7,43:15.6,,Fixation
699.2511, 489.5443,TRUE,7,43:15.6,,Fixation
687.3744, 494.7877,TRUE,7,43:15.6,,Fixation
679.2057, 491.3949,TRUE,7,43:15.6,,Fixation
682.6851, 510.7853,TRUE,7,43:15.6,,Fixation
685.5705, 502.5863,TRUE,7,43:15.7,,Fixation
685.9067, 490.3075,TRUE,7,43:15.7,,Fixation
692.8011, 503.9279,TRUE,7,43:15.7,,Fixation
687.7737, 504.8865,TRUE,7,43:15.7,,Fixation
688.1208, 501.0623,TRUE,7,43:15.8,,Fixation
684.6077, 495.1172,TRUE,7,43:15.8,,Fixation
693.3846, 494.4975,TRUE,7,43:15.8,,Fixation
693.0154, 505.2456,TRUE,7,43:15.8,,Fixation
692.6664, 501.93,TRUE,7,43:15.8,,Fixation
698.6541, 481.0212,TRUE,7,43:15.8,,Fixation
711.325, 458.8123,TRUE,7,43:15.9,,Fixation
703.7381, 481.7144,TRUE,7,43:15.9,,Fixation
694.3692, 501.3176,TRUE,7,43:15.9,,Fixation
704.1237, 496.0382,TRUE,7,43:15.9,,Fixation
712.7748, 503.7615,TRUE,7,43:15.9,,Fixation
687.6995, 488.1354,TRUE,7,43:16.0,,Fixation
703.8776, 466.4553,TRUE,7,43:16.0,,Fixation
702.5083, 484.9465,TRUE,7,43:16.0,,Fixation
710.0767, 492.3468,TRUE,7,43:16.0,,Fixation
693.322, 461.8423,TRUE,7,43:16.0,,Fixation
695.3336, 506.3452,TRUE,7,43:16.0,,Fixation
699.9913, 486.1033,TRUE,7,43:16.1,,Fixation
697.0021, 471.0457,TRUE,7,43:16.1,,Fixation
692.2728, 487.3499,TRUE,7,43:16.1,,Fixation
698.2105, 489.0515,TRUE,7,43:16.2,,Fixation
679.6753, 472.7819,TRUE,7,43:16.2,,Fixation
696.8842, 481.8757,TRUE,7,43:16.2,,Fixation
708.9756, 474.0105,TRUE,7,43:16.2,,Fixation
699.4164, 477.3986,TRUE,7,43:16.3,,Fixation
710.9066, 485.3613,TRUE,7,43:16.4,,Fixation
708.7275, 486.262,TRUE,7,43:16.4,,Fixation
709.8501, 456.2277,TRUE,7,43:16.5,,Fixation
704.6996, 475.3017,TRUE,7,43:16.5,,Fixation
703.4443, 480.0212,TRUE,7,43:16.5,,Fixation
710.139, 468.6415,TRUE,7,43:16.5,,Fixation
721.9734, 467.0806,TRUE,7,43:16.6,,Fixation
798.1265, 501.6314,TRUE,7,43:16.6,,Fixation
788.663, 478.2716,TRUE,7,43:16.6,,Fixation
806.856, 509.7588,TRUE,7,43:16.7,,Fixation
803.4608, 486.6009,TRUE,7,43:16.7,,Fixation
814.2828, 472.5149,TRUE,7,43:16.7,,Fixation
828.3516, 468.281,TRUE,7,43:16.8,,Fixation
821.7318, 490.3346,TRUE,7,43:16.8,,Fixation
804.5278, 498.3912,TRUE,7,43:16.8,,Fixation
819.1504, 500.8305,TRUE,7,43:16.8,,Fixation
816.9701, 493.0269,TRUE,7,43:16.8,,Fixation
817.3518, 477.1443,TRUE,7,43:16.9,,Fixation
828.5951, 470.1275,TRUE,7,43:16.9,,Fixation
818.3427, 492.3687,TRUE,7,43:16.9,,Fixation
825.0917, 487.2252,TRUE,7,43:16.9,,Fixation
823.4281, 483.1505,TRUE,7,43:17.0,,Fixation
806.9515, 493.7401,TRUE,7,43:17.0,,Fixation
812.5851, 472.7284,TRUE,7,43:17.1,,Fixation
810.9507, 494.8131,TRUE,7,43:17.1,,Fixation
797.3326, 487.9106,TRUE,7,43:17.1,,Fixation
812.0137, 493.1002,TRUE,7,43:17.1,,Fixation
