CRX,CRY,TimeStamp, 
171.89,411.3269,43:34.0,
188.8005,438.5558,43:34.0,
179.1606,407.6595,43:34.0,
159.1658,406.9364,43:34.0,
177.9652,431.9988,43:34.0,
180.9922,434.9498,43:34.1,
172.9089,410.1642,43:34.1,
169.336,427.738,43:34.1,
168.3095,410.4078,43:34.1,
159.6616,404.7538,43:34.1,
168.3114,398.6109,43:34.2,
163.0049,386.6466,43:34.2,
185.3879,399.7133,43:34.2,
169.6968,407.0192,43:34.2,
336.0725,413.433,43:34.3,
684.4899,445.2915,43:34.3,
988.729,452.1234,43:34.3,
1195.501,482.7774,43:34.3,
1259.1514,473.9098,43:34.3,
1247.9956,495.0541,43:34.4,
1242.2006,486.4478,43:34.4,
1256.0947,497.8134,43:34.4,
1242.2006,486.4478,43:34.4,
1251.145,486.7645,43:34.4,
1256.8718,492.3679,43:34.4,
1260.1638,499.9898,43:34.5,
1274.9875,492.2284,43:34.5,
1265.7261,501.2476,43:34.6,
1259.9341,495.5237,43:34.6,
1264.4707,460.1611,43:34.6,
1248.6591,492.9598,43:34.6,
1252.6465,497.1743,43:34.6,
1250.2057,479.1733,43:34.7,
1255.4634,477.4993,43:34.7,
1255.6238,502.0686,43:34.7,
1269.2126,503.2616,43:34.7,
1263.1729,495.9927,43:34.7,
1258.6735,456.2212,43:34.8,
1259.1604,494.8752,43:34.8,
1432.8929,678.2128,43:34.8,
1397.5353,694.4958,43:34.9,
1397.437,702.3212,43:34.9,
1407.6824,707.628,43:34.9,
1407.302,715.5052,43:35.0,
1386.3794,715.6544,43:34.9,
1145.4744,731.2936,43:35.0,
823.9608,730.8774,43:35.0,
291.8417,723.7306,43:35.0,
286.7071,725.0327,43:35.0,
281.6466,738.0623,43:35.1,
281.6807,720.2808,43:35.1,
271.9886,727.7886,43:35.1,
273.0755,730.4315,43:35.1,
264.1794,725.3934,43:35.2,
277.0568,732.2063,43:35.2,
277.5263,725.9802,43:35.2,
274.8657,743.3474,43:35.2,
281.3288,706.8149,43:35.2,
246.8849,718.0258,43:35.3,
264.301,732.404,43:35.3,
614.6453,617.5858,43:35.4,
631.0627,592.9713,43:35.4,
638.29,591.5156,43:35.4,
692.5639,629.245,43:35.5,
1478.0028,614.9105,43:35.6,
1451.8656,631.1504,43:35.7,
1214.6663,601.2461,43:35.9,
1234.0378,602.2015,43:35.9,
1220.5175,596.0897,43:35.9,
1244.8552,592.6674,43:35.9,
1220.606,574.1715,43:36.0,
1208.4697,590.6946,43:36.0,
1221.9077,581.7411,43:36.0,
1213.1538,593.0407,43:36.0,
1200.8201,596.9297,43:36.1,
1128.6094,603.4646,43:36.1,
802.4412,644.46,43:36.1,
678.8643,659.7011,43:36.1,
697.1807,659.0649,43:36.1,
696.8041,655.4757,43:36.2,
670.8891,669.4454,43:36.2,
679.8563,636.8384,43:36.2,
688.6233,639.4696,43:36.2,
677.6394,646.2009,43:36.3,
661.8481,649.1514,43:36.3,
685.2457,640.547,43:36.3,
687.793,644.4078,43:36.3,
684.3102,648.3253,43:36.3,
709.1836,661.5874,43:36.4,
683.4606,654.2908,43:36.4,
693.4714,636.4604,43:36.4,
690.3567,640.5657,43:36.5,
700.2661,635.9924,43:36.5,
754.4846,598.3781,43:36.5,
776.8455,568.3853,43:36.5,
772.9614,568.7942,43:36.6,
786.8243,579.8011,43:36.6,
771.0129,565.7436,43:36.6,
751.5952,593.7328,43:36.7,
779.0319,573.9861,43:36.7,
759.5087,581.6962,43:36.7,
755.0253,556.6276,43:36.7,
765.0452,589.5446,43:36.8,
764.2411,558.0342,43:36.8,
773.9036,555.6533,43:36.8,
807.6477,281.5202,43:36.8,
796.4291,84.0542,43:36.9,
793.4315,113.3447,43:36.9,
786.6782,85.7135,43:36.9,
775.1382,116.0318,43:37.0,
779.7042,122.3002,43:37.0,
654.1066,393.0531,43:37.0,
565.8102,651.572,43:37.0,
519.999,689.6587,43:37.1,
510.3395,701.4695,43:37.1,
705.3406,726.013,43:37.1,
705.3406,726.013,43:37.1,
839.8769,661.2639,43:37.4,
818.0092,680.4552,43:37.6,
830.9987,695.3391,43:37.6,
813.5798,676.1832,43:37.6,
842.1119,662.6248,43:37.7,
829.2401,673.1992,43:37.8,
843.4501,676.8857,43:37.8,
717.889,663.6223,43:38.0,
704.8346,669.2992,43:38.0,
828.5469,685.1079,43:37.9,
730.3783,669.3419,43:38.0,
718.0879,684.6895,43:38.1,
698.8961,666.913,43:38.0,
708.3683,643.8784,43:38.1,
703.7032,688.6791,43:38.1,
722.8962,669.7263,43:38.1,
677.8091,633.2036,43:38.1,
650.0137,623.1016,43:38.2,
654.1954,633.8661,43:38.2,
659.1938,626.9935,43:38.2,
689.6483,615.0505,43:38.2,
714.041,597.1352,43:38.2,
688.4037,612.2607,43:38.3,
901.3228,759.1229,43:38.7,
910.0817,759.1755,43:38.7,
900.0142,733.9191,43:38.8,
773.6836,610.6157,43:38.8,
826.7128,564.9831,43:38.9,
802.1364,567.2241,43:38.9,
818.4462,584.2388,43:38.9,
801.7571,577.3646,43:39.0,
817.6911,553.8868,43:39.1,
702.3526,554.6965,43:39.1,
726.478,562.9919,43:39.1,
711.9946,573.8768,43:39.2,
913.2014,651.6748,43:39.3,
979.3704,601.8899,43:39.4,
824.4197,553.8148,43:39.5,
825.5137,557.005,43:39.5,
853.7765,561.6331,43:39.5,
832.6135,548.7322,43:39.6,
26.1285,881.7258,43:39.6,
27.6157,812.5881,43:39.6,
9.9615,409.2994,43:39.8,
814.67,386.0446,43:41.0,
768.363,252.7885,43:41.2,
806.8875,266.4248,43:41.2,
755.9518,280.503,43:41.3,
