CRX,CRY,TimeStamp, 
798.1265,501.6314,43:16.6,
788.663,478.2716,43:16.6,
806.856,509.7588,43:16.7,
803.4608,486.6009,43:16.7,
814.2828,472.5149,43:16.7,
828.3516,468.281,43:16.8,
821.7318,490.3346,43:16.8,
804.5278,498.3912,43:16.8,
819.1504,500.8305,43:16.8,
816.9701,493.0269,43:16.8,
817.3518,477.1443,43:16.9,
828.5951,470.1275,43:16.9,
818.3427,492.3687,43:16.9,
825.0917,487.2252,43:16.9,
823.4281,483.1505,43:17.0,
806.9515,493.7401,43:17.0,
812.5851,472.7284,43:17.1,
810.9507,494.8131,43:17.1,
797.3326,487.9106,43:17.1,
812.0137,493.1002,43:17.1,
830.4487,498.0328,43:17.2,
816.0507,496.5988,43:17.2,
827.0677,492.386,43:17.2,
817.1063,481.1553,43:17.2,
831.793,480.8843,43:17.2,
816.538,501.403,43:17.3,
959.3795,498.8543,43:17.3,
971.843,492.8502,43:17.3,
979.0282,523.887,43:17.3,
972.4854,521.0117,43:17.4,
979.4951,505.801,43:17.3,
958.748,520.6168,43:17.4,
956.2944,523.0042,43:17.4,
966.7589,505.024,43:17.5,
977.7202,501.8289,43:17.5,
966.6577,516.1317,43:17.5,
949.362,508.3368,43:17.5,
967.3774,517.7223,43:17.6,
962.8405,521.3192,43:17.7,
964.2799,510.4609,43:17.7,
977.8236,512.9926,43:17.7,
779.0193,439.7859,43:17.9,
772.349,447.9781,43:17.8,
770.0328,457.2898,43:17.9,
784.6411,485.7788,43:18.0,
780.3226,460.9584,43:18.0,
785.8633,448.9424,43:18.1,
772.4501,445.9695,43:18.1,
766.1081,445.8397,43:18.1,
784.3571,433.9412,43:18.1,
765.1274,471.5159,43:18.2,
761.5492,448.7278,43:18.2,
922.2059,469.168,43:18.2,
915.5703,492.4422,43:18.2,
943.0289,490.9137,43:18.2,
915.7039,495.0007,43:18.3,
931.5859,477.3619,43:18.3,
913.0024,488.4091,43:18.3,
921.9856,485.1354,43:18.3,
913.5334,511.3882,43:18.4,
922.7334,492.4673,43:18.4,
913.3843,482.1306,43:18.4,
906.7443,490.9189,43:18.4,
918.5779,471.9827,43:18.5,
917.7118,496.7084,43:18.5,
912.9925,492.5833,43:18.5,
911.6339,506.7466,43:18.5,
897.8497,499.8748,43:18.6,
929.9619,495.936,43:18.6,
919.5884,480.399,43:18.6,
902.1464,494.7425,43:18.6,
904.1507,492.7855,43:18.7,
914.2681,470.1703,43:18.7,
920.0933,484.2825,43:18.7,
1333.262,549.2603,43:18.8,
1323.4595,535.4968,43:18.8,
1324.2312,525.6074,43:18.8,
1300.5493,539.7855,43:18.8,
1337.1641,552.4459,43:18.8,
1314.5623,534.5922,43:18.9,
1340.7527,535.1444,43:18.9,
1326.6852,528.441,43:18.9,
1308.1343,536.8888,43:18.9,
1324.2284,553.1205,43:19.0,
1331.7465,540.6887,43:19.0,
1323.4607,541.539,43:19.0,
1329.719,542.0179,43:19.0,
1329.8843,533.9285,43:19.1,
