Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
DeskWithDrawers (1),3.279968,3,1.689,0,1.697,0,0.7071068,0,0.7071067
bookC (79),0,0,-2.89,0.048,3.535,0,1,0,-1.629207E-07
plateDinner (2),0,0,2.79,0.7114,3.65,0,1,0,-1.629207E-07
book D (44),0,0,-3.295,0.653,3.5349,0,1,0,-1.629207E-07
bookC (7),0,0,0.8239999,0.05,3.527,0,1,0,-1.629207E-07
Carpets,0,0,0,0,0,0,0,0,1
plateDinner (7),0,0,2.79,0.788,3.65,0,1,0,-1.629207E-07
book D (18),0,0,-2.125,1.434501,3.512,-0.7056682,0.7056681,0.04488655,-0.04527967
bookC (93),0,0,-2.5,0.048,3.535,0,1,0,-1.629207E-07
CarpetB,0,0,0.98,0.01,-1.7,0,0,0,1
bookC (75),0,0,-2.79,0.048,3.525,0,1,0,-1.629207E-07
bookC (91),0,0,-2.45,0.048,3.545,0,1,0,-1.629207E-07
bookC (49),0,0,0.675,0.34,3.533,0,1,0,-1.629207E-07
PictureFrameA,0,0,2.115,0.724,-3.694,-0.1290925,-0.1465449,-0.019293,0.9805548
bookC (57),0,0,-2.458,1.056,3.587,-0.7071068,0.7071067,1.152023E-07,-1.152023E-07
book D (6),0,0,-3.13,1.357,3.543,0,1,0,-1.629207E-07
book D,0,0,-2.98,1.357,3.525,0,1,0,-1.629207E-07
plateDinner (16),0,0,3.21,1.539,3.5973,-8.146035E-08,0.8660254,-0.5000001,-1.410935E-07
book D,0,0,-0.3370001,0.682,3.527,0,1,0,-1.629207E-07
bookC (28),0,0,0.126,0.05,3.533,0,1,0,-1.629207E-07
book D (14),0,0,-2.742,1.357,3.519,0,1,0,-1.629207E-07
book D (20),0,0,-2.359,1.484491,3.522,0.707063,0.707059,0.007848815,0.008241257
bookC (59),0,0,-2.458126,1.203,3.594597,-0.7070104,0.7070103,-0.01168035,0.01168035
sofa_QuestB3,10.38004,9,3.224,0,1.63,0,0.7071068,0,0.7071067
bookC (45),0,0,-3.331,1.363,3.535,0,1,0,-1.629207E-07
bookC (20),0,0,-0.471,0.05,3.527,0,1,0,-1.629207E-07
bookCoversA,0,0,0.4019999,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
DeskWithDrawers,4.319977,5,2,0,-3.518,0,0,0,1
plateDinner (15),0,0,2.79,1.539,3.5973,-8.146035E-08,0.8660254,-0.5000001,-1.410935E-07
plateDinner (9),0,0,2.79,0.7558,3.65,0,1,0,-1.629207E-07
bookC (52),0,0,0.6249999,0.34,3.531,0,1,0,-1.629207E-07
bookC (87),0,0,-2.55,0.048,3.525,0,1,0,-1.629207E-07
booksTwo,0,0,3.604,0.7658,-2.246716,0.007023737,-0.007023416,0.707072,-0.7070718
book D,0,0,-0.1870001,0.682,3.535,0,1,0,-1.629207E-07
bookC (21),0,0,-0.521,0.05,3.533,0,1,0,-1.629207E-07
bookC (50),0,0,-3.531,1.363,3.552,0,1,0,-1.629207E-07
book D,0,0,-0.4820001,0.682,3.522,0,1,0,-1.629207E-07
bookCoversB (1),0,0,-0.3140001,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
bookC (44),0,0,1.023,0.34,3.544,0,1,0,-1.629207E-07
bookC (62),0,0,-3.731,0.048,3.525,0,1,0,-1.629207E-07
Bookcase_QuestD1,67.58003,34,-2.9,0,3.685,0,1,0,-1.629207E-07
bookC (27),0,0,-0.07200005,0.05,3.525,0,1,0,-1.629207E-07
bookCoversB (1),0,0,-3.678,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
Dresser,0,0,3.655,0,-2.039,0,-0.7071068,0,0.7071067
chairDinner (1),9.44001,10,-1.64,0,0.4470002,0,1,0,-1.629207E-07
bookC (56),0,0,-3.596,1.617,3.552,-0.7052175,0.7052174,-0.05165666,0.05165664
bookC (60),0,0,-3.781,0.048,3.525,0,1,0,-1.629207E-07
bookC (65),0,0,-3.596,0.302,3.552,-0.7052175,0.7052174,-0.05165666,0.05165664
book D,0,0,-0.5320001,0.682,3.527,0,1,0,-1.629207E-07
bookC (56),0,0,0.7758,0.594,3.5481,0.7058977,0.7058976,-0.04133479,-0.04133479
bookC (34),0,0,-0.6698,0.05,3.527,0,1,0,-1.629207E-07
bookCoversA (1),0,0,0.04199993,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
bookC (63),0,0,-3.331,0.048,3.535,0,1,0,-1.629207E-07
DinnerTableHolder,0,0,-2,0,0.13,0,0,0,1
plateDinner (3),0,0,2.79,0.7264,3.65,0,1,0,-1.629207E-07
chairDinner,2.699989,3,-2.822,0,0.953,0,0.9647185,0,0.2632836
book D (24),0,0,-3.321,2.027,3.54,0.5781081,0.5778823,0.4071741,0.4074951
book D (35),0,0,-3.595,0.653,3.514,0,1,0,-1.629207E-07
chairDinner (3),2.560005,4,-1.652,0,-0.369,0,0.05258293,0,0.9986166
bookC (83),0,0,-3.23,0.048,3.535,0,1,0,-1.629207E-07
book D (28),0,0,-2.765387,0.758,3.518039,-0.706607,0.7066174,0.02624584,-0.02663883
bookC (2),0,0,0.8734,0.05,3.527,0,1,0,-1.629207E-07
LampOil (1),0,0,1.744,0.72,-3.738,0,0,0,1
bookC (92),0,0,-2.1,0.048,3.545,0,1,0,-1.629207E-07
bookCoversA (1),0,0,-3.322,1.816,3.458,0.7071068,-2.304046E-07,-2.304047E-07,-0.7071067
book D (40),0,0,-3.497,0.653,3.519,0,1,0,-1.629207E-07
book D,0,0,-0.2870001,0.682,3.534,0,1,0,-1.629207E-07
bookC (51),0,0,-3.481,1.363,3.535,0,1,0,-1.629207E-07
bookC (49),0,0,-3.631,1.363,3.545,0,1,0,-1.629207E-07
bookC (89),0,0,-2.35,0.048,3.552,0,1,0,-1.629207E-07
bookC (44),0,0,-3.281,1.363,3.545,0,1,0,-1.629207E-07
tableDinner_QuestB2,16.24001,19,-2,0,0.13,0,0,0,1
book D (2),0,0,-2.93,1.357,3.534,0,1,0,-1.629207E-07
book D (37),0,0,-3.347,0.653,3.542,0,1,0,-1.629207E-07
bookC (73),0,0,-2.99,0.048,3.541,0,1,0,-1.629207E-07
bookC (42),0,0,0.979,1.2418,3.527,-0.7071068,0.7071067,1.152023E-07,-1.152023E-07
bookC (29),0,0,0.07599995,0.05,3.527,0,1,0,-1.629207E-07
book D (26),0,0,-2.812165,0.865,3.501,-0.6162558,0.7874629,0.008838364,-0.007269568
book D (41),0,0,-3.685,0.653,3.534,0,1,0,-1.629207E-07
bookC (90),0,0,-2.3,0.048,3.535,0,1,0,-1.629207E-07
book D,0,0,-0.627,0.682,3.524,0,1,0,-1.629207E-07
book D,0,0,-0.14,0.682,3.535,0,1,0,-1.629207E-07
bookC (52),0,0,-3.681,1.363,3.535,0,1,0,-1.629207E-07
PictureFrameD,0,0,0.3619999,1.019936,3.519,0.01039662,0.9843069,0.1189208,0.1299599
paintingLandscapeC,0.6199951,1,1.85,0.015,3.53,0.2588191,0,0,0.9659258
bookC (47),0,0,0.923,0.34,3.527,0,1,0,-1.629207E-07
bookC (8),0,0,0.4259999,0.05,3.521,0,1,0,-1.629207E-07
PictureFrameB,0,0,2.416,0.724,-3.57,-0.1210218,-0.3714018,-0.04889598,0.9192517
