Name,Time,Count,POSX,POSY,POSZ,ROTX,ROTY,ROTZ,ROTW
CG1(Clone),0,0,0.8500001,0.75,-1.63,0,0.7071068,0,-0.7071068
plateDinner(Clone),0,0,0.8500001,0.75,-1.63,0,0.7071068,0,-0.7071068
booksTwo(Clone),0,0,0.85,0.8099998,-0.9399994,-0.5,0.5,0.5,-0.5
LampOil(Clone),0,0,0.5,0.755,-1.63,0,0.7071068,0,-0.7071068
sofa(Clone),2.599976,3,-1.5,0,1.265698,0,0.7071068,0,-0.7071068
fireplace_QuestA1,0,0,-3.13,0,-3.667499,0,0,0,1
PictureFrameA(Clone),0,0,-3.642177,1.548398,-3.786242,-0.1293886,0.1306104,0.01719518,0.9828041
PictureFrameA(Clone),0,0,-3.074,1.548398,-3.788664,-0.1305262,0,0,0.9914449
Bookcase_QuestG2,33.27997,6,1,0,-3.68,0,0,0,1
bookCoversA(Clone),0,0,1.785,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
bookCoversA(Clone),0,0,1.435,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
bookCoversA(Clone),0,0,1.085,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
bookCoversA(Clone),0,0,0.735,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
bookCoversA(Clone),0,0,0.385,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
bookC (7),0,0,1.276,1.36,-3.53,0,0,0,1
bookC (6),0,0,1.326,1.36,-3.53,0,0,0,1
bookC (5),0,0,1.376,1.36,-3.53,0,0,0,1
bookC (4),0,0,1.626,1.36,-3.53,0,0,0,1
bookC (3),0,0,1.576,1.36,-3.53,0,0,0,1
bookC (2),0,0,1.526,1.36,-3.53,0,0,0,1
bookC (1),0,0,1.476,1.36,-3.53,0,0,0,1
BlackBooksRow(Clone),0,0,1.426,1.36,-3.53,0,0,0,1
bookC (7),0,0,0.876,1.36,-3.53,0,0,0,1
bookC (6),0,0,0.926,1.36,-3.53,0,0,0,1
bookC (5),0,0,0.976,1.36,-3.53,0,0,0,1
bookC (4),0,0,1.226,1.36,-3.53,0,0,0,1
bookC (3),0,0,1.176,1.36,-3.53,0,0,0,1
bookC (2),0,0,1.126,1.36,-3.53,0,0,0,1
bookC (1),0,0,1.076,1.36,-3.53,0,0,0,1
BlackBooksRow(Clone),0,0,1.026,1.36,-3.53,0,0,0,1
bookC (7),0,0,0.476,1.36,-3.53,0,0,0,1
bookC (6),0,0,0.526,1.36,-3.53,0,0,0,1
bookC (5),0,0,0.576,1.36,-3.53,0,0,0,1
bookC (4),0,0,0.826,1.36,-3.53,0,0,0,1
bookC (3),0,0,0.776,1.36,-3.53,0,0,0,1
bookC (2),0,0,0.726,1.36,-3.53,0,0,0,1
bookC (1),0,0,0.676,1.36,-3.53,0,0,0,1
BlackBooksRow(Clone),0,0,0.626,1.36,-3.53,0,0,0,1
RedBooksStack(Clone),0,0,1.845,1.49,-3.51,0,0.9205048,0,-0.3907313
RedBooksRowB(Clone),0,0,1.426,0.68,-3.53,0,0,0,1
RedBooksRow(Clone),0,0,0.626,0.68,-3.53,0,0,0,1
RedBooksRowB(Clone),0,0,0.226,0.68,-3.53,0,0,0,1
RedBooksStack(Clone),0,0,1.845,0.81,-3.51,0,0.9205048,0,-0.3907313
GreenBooksRow(Clone),0,0,1.715,0.34,-3.53,0,0,0,1
RedBooksRow(Clone),0,0,0.915,0.34,-3.53,0,0,0,1
GreenBooksRowB(Clone),0,0,0.515,0.34,-3.53,0,0,0,1
GreenBooksStack(Clone),0,0,0.335,0.47,-3.53,0,-0.7071069,0,0.7071068
RedBooksRow(Clone),0,0,1.715,0.05,-3.53,0,0,0,1
GreenBooksRow(Clone),0,0,1.315,0.05,-3.53,0,0,0,1
bookC (7),0,0,0.765,0.05,-3.53,0,0,0,1
bookC (6),0,0,0.815,0.05,-3.53,0,0,0,1
bookC (5),0,0,0.865,0.05,-3.53,0,0,0,1
bookC (4),0,0,1.115,0.05,-3.53,0,0,0,1
bookC (3),0,0,1.065,0.05,-3.53,0,0,0,1
bookC (2),0,0,1.015,0.05,-3.53,0,0,0,1
bookC (1),0,0,0.965,0.05,-3.53,0,0,0,1
BlackBooksRow(Clone),0,0,0.915,0.05,-3.53,0,0,0,1
RedBooksStack(Clone),0,0,0.275,0.18,-3.53,0,0.3842951,0,-0.9232103
Bookcase(Clone),5.419922,2,2.93,0,3.68,0,1,0,-4.37E-08
bookCoversB(Clone),0,0,2.145,1.81,3.48,-0.7071069,-8.430001E-08,-8.430001E-08,0.7071068
bookCoversB(Clone),0,0,2.495,1.81,3.48,-0.7071069,-8.430001E-08,-8.430001E-08,0.7071068
bookCoversB(Clone),0,0,2.845,1.81,3.48,-0.7071069,-8.430001E-08,-8.430001E-08,0.7071068
bookCoversA(Clone),0,0,3.195,1.81,3.48,0.7071068,5.03E-05,-5.04E-05,-0.7071068
bookCoversA(Clone),0,0,3.545,1.81,3.48,0.7071068,5.03E-05,-5.04E-05,-0.7071068
RedBooksRow(Clone),0,0,2.504,1.36,3.53,0,1,0,-4.37E-08
RedBooksRow(Clone),0,0,2.904,1.36,3.53,0,1,0,-4.37E-08
bookC (7),0,0,3.454,1.36,3.53,0,1,0,-4.37E-08
bookC (6),0,0,3.404,1.36,3.53,0,1,0,-4.37E-08
bookC (5),0,0,3.354,1.36,3.53,0,1,0,-4.37E-08
bookC (4),0,0,3.104,1.36,3.53,0,1,0,-4.37E-08
bookC (3),0,0,3.154,1.36,3.53,0,1,0,-4.37E-08
bookC (2),0,0,3.204,1.36,3.53,0,1,0,-4.37E-08
bookC (1),0,0,3.254,1.36,3.53,0,1,0,-4.37E-08
BlackBooksRow(Clone),0,0,3.304,1.36,3.53,0,1,0,-4.37E-08
bookC (4),0,0,2.085,1.44,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
bookC (3),0,0,2.085,1.39,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
bookC (2),0,0,2.085,1.59,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
bookC (1),0,0,2.085,1.54,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
BlackBooksStack(Clone),0,0,2.085,1.49,3.51,0,-0.3907313,0,-0.9205048
BlueBooksRow(Clone),0,0,2.215,1.02,3.53,0,1,0,-4.37E-08
GreenBooksRow(Clone),0,0,2.615,1.02,3.53,0,1,0,-4.37E-08
bookC (5),0,0,3.1046,1.0272,3.53,-0.08715575,0.9961947,3.808706E-09,-4.353371E-08
bookC (4),0,0,2.815,1.02,3.53,0,1,0,-4.37E-08
bookC (3),0,0,2.865,1.02,3.53,0,1,0,-4.37E-08
bookC (2),0,0,2.915,1.02,3.53,0,1,0,-4.37E-08
bookC (1),0,0,2.965,1.02,3.53,0,1,0,-4.37E-08
BlackBooksRowB(Clone),0,0,3.015,1.02,3.53,0,1,0,-4.37E-08
RedBooksStack(Clone),0,0,3.635,1.15,3.51,0,-0.5000003,0,-0.8660253
bookC (7),0,0,2.654,0.68,3.53,0,1,0,-4.37E-08
bookC (6),0,0,2.604,0.68,3.53,0,1,0,-4.37E-08
bookC (5),0,0,2.554,0.68,3.53,0,1,0,-4.37E-08
bookC (4),0,0,2.304,0.68,3.53,0,1,0,-4.37E-08
bookC (3),0,0,2.354,0.68,3.53,0,1,0,-4.37E-08
bookC (2),0,0,2.404,0.68,3.53,0,1,0,-4.37E-08
bookC (1),0,0,2.454,0.68,3.53,0,1,0,-4.37E-08
BlackBooksRow(Clone),0,0,2.504,0.68,3.53,0,1,0,-4.37E-08
RedBooksRow(Clone),0,0,2.904,0.68,3.53,0,1,0,-4.37E-08
RedBooksRow(Clone),0,0,3.704,0.68,3.53,0,1,0,-4.37E-08
bookC (4),0,0,2.085,0.76,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
bookC (3),0,0,2.085,0.71,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
bookC (2),0,0,2.085,0.91,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
bookC (1),0,0,2.085,0.86,3.51,-0.6556182,-0.655618,-0.2648867,-0.2648867
BlackBooksStack(Clone),0,0,2.085,0.81,3.51,0,-0.3907313,0,-0.9205048
BlueBooksRowB(Clone),0,0,2.615,0.05,3.53,0,1,0,-4.37E-08
RedBooksRow(Clone),0,0,3.015,0.05,3.53,0,1,0,-4.37E-08
BlueBooksRow(Clone),0,0,3.415,0.05,3.53,0,1,0,-4.37E-08
BlueBookStack(Clone),0,0,3.655,0.18,3.53,0,-0.9232104,0,-0.384295
armoire(Clone),3.720032,2,3.64,0,2,0,0.7071068,0,-0.7071068
bookCoversA(Clone),0,0,3.44,1.8,2.24,-0.4999998,0.5000002,0.5,0.5000001
tableClothA(Clone),0,0,3.63,0.82,2.24,0,0.7071068,0,-0.7071068
plateDinner(Clone),0,0,3.5,0.73,1.8,-0.3535535,0.6123723,0.3535534,0.6123726
tableClothA(Clone),0,0,3.53,0.82,1.8,0,0.7071067,0,0.7071069
tableClothA(Clone),0,0,3.63,1.15,2.24,0,0.7071068,0,-0.7071068
UtensilsRow(Clone),0,0,3.63,1.43,2.24,0,0.7071068,0,-0.7071068
UtensilsRow(Clone),0,0,3.63,1.09,1.8,0,0.7071068,0,-0.7071068
plateDinner(Clone),0,0,3.5,1.4,1.8,-0.3535535,0.6123723,0.3535534,0.6123726
tableClothA(Clone),0,0,3.53,1.49,1.8,0,0.7071067,0,0.7071069
Dresser(Clone),2.119995,2,-2.475,0,3.649999,0,1,0,-4.37E-08
LampOil(Clone),0,0,-2.266,0.740004,3.649999,0,1,0,-4.37E-08
PictureFrameD(Clone),0,0,-2.657,0.7406512,3.645083,2.13E-08,0.9914449,0.1305262,-1.62E-07
armoire(Clone),0.6199951,1,2.45,0,-3.664999,0,0,0,1
Bookcase(Clone),0,0,-1,0,-3.68,0,0,0,1
bookCoversB(Clone),0,0,-0.215,1.81,-3.48,1.15E-07,-0.7071068,-0.7071069,-1.15E-07
bookCoversB(Clone),0,0,-0.565,1.81,-3.48,1.15E-07,-0.7071068,-0.7071069,-1.15E-07
bookCoversB(Clone),0,0,-0.915,1.81,-3.48,1.15E-07,-0.7071068,-0.7071069,-1.15E-07
bookCoversA(Clone),0,0,-1.265,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
bookCoversA(Clone),0,0,-1.615,1.81,-3.48,5.03E-05,0.7071068,0.7071068,5.03E-05
BlueBooksRow(Clone),0,0,-0.574,1.36,-3.53,0,0,0,1
GreenBooksRow(Clone),0,0,-1.374,1.36,-3.53,0,0,0,1
GreenBooksRow(Clone),0,0,-1.774,1.36,-3.53,0,0,0,1
BlueBookStack(Clone),0,0,-0.155,1.49,-3.51,0,0.9205048,0,-0.3907313
BlueBooksRow(Clone),0,0,-0.974,0.68,-3.53,0,0,0,1
RedBooksRowB(Clone),0,0,-1.374,0.68,-3.53,0,0,0,1
RedBooksRow(Clone),0,0,-1.774,0.68,-3.53,0,0,0,1
RedBooksStack(Clone),0,0,-0.155,0.81,-3.51,0,0.9205048,0,-0.3907313
GreenBooksRow(Clone),0,0,-0.285,0.34,-3.53,0,0,0,1
GreenBooksRowB(Clone),0,0,-0.685,0.34,-3.53,0,0,0,1
GreenBooksRowB(Clone),0,0,-1.485,0.34,-3.53,0,0,0,1
RedBooksStack(Clone),0,0,-1.665,0.47,-3.53,0,-0.7071069,0,0.7071068
BlueBooksRow(Clone),0,0,-0.285,0.05,-3.53,0,0,0,1
BlueBooksRowB(Clone),0,0,-1.085,0.05,-3.53,0,0,0,1
BlueBooksRow(Clone),0,0,-1.485,0.05,-3.53,0,0,0,1
BlueBookStack(Clone),0,0,-1.725,0.18,-3.53,0,0.3842951,0,-0.9232103
DeskWithDrawers_QuestA3,5.040039,6,-2.5,0,1.270001,0,0.7071068,0,-0.7071068
bookCoversB(Clone),0,0,2.69,1.8,-3.464999,-1.15E-07,-0.7071069,-0.7071066,1.15E-07
bookCoversB(Clone),0,0,2.25,1.8,-3.464999,-1.15E-07,-0.7071069,-0.7071066,1.15E-07
plateDinner(Clone),0,0,2.69,0.8463,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7563,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7043,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.8863,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.8733,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7693,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7823,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7953,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7173,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.8083,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.6913,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.8213,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7313,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.8603,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.8343,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.69,0.7423,-3.570489,0,-1,0,-1.63E-07
UtensilsRow(Clone),0,0,2.25,0.76,-3.654999,0,0,0,1
UtensilsRow(Clone),0,0,2.69,1.43,-3.654999,0,0,0,1
plateDinner(Clone),0,0,2.25,1.1763,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0863,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0343,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.2163,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.2033,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0993,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.1123,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.1253,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0473,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.1383,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0213,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.1513,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0613,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.1903,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.1643,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.0723,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.5163,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4263,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.3743,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.5563,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.5433,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4393,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4523,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4653,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.3873,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4783,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.3613,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4913,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4013,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.5303,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.5043,-3.570489,0,-1,0,-1.63E-07
plateDinner(Clone),0,0,2.25,1.4123,-3.570489,0,-1,0,-1.63E-07
Dresser(Clone),1.859985,1,-0.475,0,3.649999,0,1,0,-4.37E-08
tableClothA(Clone),0,0,-0.266,0.871004,3.649999,0,1,0,-4.37E-08
bookSingle(Clone),0,0,-0.638004,0.770004,3.649999,-0.7071068,0.7071068,1.15E-07,-1.15E-07
bookSingle(Clone),0,0,-2.364418,0.751,0.7160928,-0.3813841,0.3813841,0.5954378,-0.5954378
paper(Clone),0,0,-2.287,0.721,1.090001,0,0.6360783,0,-0.7716246
paper(Clone),0,0,-2.313,0.721,1.492002,0,0.9304176,0,0.3665013
PictureFrameC(Clone),0,0,-2.49825,0.721034,1.836934,0.07933274,0.7873028,0.1036504,-0.6025921
PictureFrameD_QuestG1,0,0,-2.722259,0.721034,1.240001,0.09229597,0.7010574,0.09229597,-0.7010574
paintingC_QuestG3,0,0,3.5,1.3,-3.99,0,1,0,-4.37E-08
chairDinner(Clone),0.7399902,1,1.5,0,-1.5,0,-0.751304,0,0.6599563
paintingD(Clone),0,0,0.5,1.3,3.99,0,0,0,1
chairDinner(Clone),0,0,1.5,0,-2.5,0,-0.4145085,0,0.9100455
paintingA_QuestA2,6.159912,8,-0.5,1.3,3.99,0,0,0,1
chairDinner(Clone),0,0,-0.5,0,-0.5,0,0.9351123,0,0.3543515
paintingIndianLarge(Clone),1.47998,1,-2,1.3,3.99,0,0,0,1
chairDinner(Clone),0,0,-0.5,0,-1.5,0,0.751304,0,0.6599563
chairDinner(Clone),0,0,-0.5,0,-2.5,0,0.4145085,0,0.9100455
Button (1),0,0,565.55,278.9,0,0,0,0,1
Button,0,0,565.55,278.9,0,0,0,0,1
Spacer,0,0,800.2,432.9,0,0,0,0,1
LevelPanel,0,0,800,431.5,0,0,0,0,1
QuestA1(Clone),0,0,800,450,0,0,0,0,1
QuestA2(Clone),48.79795,1,800,450,0,0,0,0,1
QuestA3(Clone),27.2268,1,800,450,0,0,0,0,1
QuestG1(Clone),0,0,800,450,0,0,0,0,1
QuestG2(Clone),35.83134,1,800,450,0,0,0,0,1
QuestG3(Clone),0,0,800,450,0,0,0,0,1
TutorialPaper,1.721926,1,800,450,0,0,0,0,1
