BlinkType,TimeTracker
NormalBlink,2016-04-28 13:32:00.757
NormalBlink,2016-04-28 13:32:02.964
NormalBlink,2016-04-28 13:32:04.579
LongBlink,2016-04-28 13:32:05.563
NormalBlink,2016-04-28 13:32:08.058
NormalBlink,2016-04-28 13:32:10.140
NormalBlink,2016-04-28 13:32:12.021
NormalBlink,2016-04-28 13:32:12.387
NormalBlink,2016-04-28 13:32:15.683
NormalBlink,2016-04-28 13:32:17.997
LongBlink,2016-04-28 13:32:29.353
LongBlink,2016-04-28 13:32:33.630
NormalBlink,2016-04-28 13:32:35.928
NormalBlink,2016-04-28 13:32:38.376
NormalBlink,2016-04-28 13:32:41.324
NormalBlink,2016-04-28 13:32:47.732
NormalBlink,2016-04-28 13:32:51.962
NormalBlink,2016-04-28 13:32:57.373
NormalBlink,2016-04-28 13:32:59.170
NormalBlink,2016-04-28 13:33:01.568
NormalBlink,2016-04-28 13:33:03.931
NormalBlink,2016-04-28 13:33:07.644
NormalBlink,2016-04-28 13:33:15.486
NormalBlink,2016-04-28 13:33:18.183
LongBlink,2016-04-28 13:33:22.911
NormalBlink,2016-04-28 13:33:29.836
NormalBlink,2016-04-28 13:33:33.034
NormalBlink,2016-04-28 13:33:37.728
NormalBlink,2016-04-28 13:33:40.492
NormalBlink,2016-04-28 13:33:44.021
NormalBlink,2016-04-28 13:33:46.868
NormalBlink,2016-04-28 13:33:57.057
NormalBlink,2016-04-28 13:34:03.317
NormalBlink,2016-04-28 13:34:12.957
NormalBlink,2016-04-28 13:34:20.199
NormalBlink,2016-04-28 13:34:25.077
NormalBlink,2016-04-28 13:34:33.086
NormalBlink,2016-04-28 13:34:33.302
NormalBlink,2016-04-28 13:34:44.675
NormalBlink,2016-04-28 13:34:53.097
