BlinkType,TimeTracker
LongBlink,2016-04-28 12:39:04.957
NormalBlink,2016-04-28 12:39:32.477
NormalBlink,2016-04-28 12:39:32.693
NormalBlink,2016-04-28 12:39:33.010
NormalBlink,2016-04-28 12:39:36.193
NormalBlink,2016-04-28 12:39:40.520
LongBlink,2016-04-28 12:39:41.368
LongBlink,2016-04-28 12:39:42.117
NormalBlink,2016-04-28 12:39:43.032
NormalBlink,2016-04-28 12:39:43.532
NormalBlink,2016-04-28 12:39:43.765
NormalBlink,2016-04-28 12:39:44.098
NormalBlink,2016-04-28 12:39:44.432
LongBlink,2016-04-28 12:39:47.028
NormalBlink,2016-04-28 12:39:47.394
NormalBlink,2016-04-28 12:39:48.280
NormalBlink,2016-04-28 12:39:50.740
NormalBlink,2016-04-28 12:39:54.504
