BlinkType,TimeTracker
NormalBlink,2016-04-21 17:14:22.319
NormalBlink,2016-04-21 17:14:24.484
NormalBlink,2016-04-21 17:14:24.750
NormalBlink,2016-04-21 17:14:25.385
NormalBlink,2016-04-21 17:14:25.834
NormalBlink,2016-04-21 17:14:35.772
LongBlink,2016-04-21 17:14:37.603
LongBlink,2016-04-21 17:14:39.700
LongBlink,2016-04-21 17:14:41.265
LongBlink,2016-04-21 17:14:42.630
LongBlink,2016-04-21 17:14:46.260
NormalBlink,2016-04-21 17:14:49.773
NormalBlink,2016-04-21 17:14:49.856
NormalBlink,2016-04-21 17:14:50.023
NormalBlink,2016-04-21 17:14:50.872
NormalBlink,2016-04-21 17:14:50.938
NormalBlink,2016-04-21 17:14:51.922
LongBlink,2016-04-21 17:14:55.184
NormalBlink,2016-04-21 17:14:56.299
NormalBlink,2016-04-21 17:14:57.033
NormalBlink,2016-04-21 17:14:58.164
NormalBlink,2016-04-21 17:14:59.432
NormalBlink,2016-04-21 17:14:59.645
NormalBlink,2016-04-21 17:15:01.593
NormalBlink,2016-04-21 17:15:02.775
NormalBlink,2016-04-21 17:15:03.192
NormalBlink,2016-04-21 17:15:04.741
LongBlink,2016-04-21 17:15:08.070
LongBlink,2016-04-21 17:15:10.268
NormalBlink,2016-04-21 17:15:10.784
NormalBlink,2016-04-21 17:15:12.532
NormalBlink,2016-04-21 17:15:37.937
NormalBlink,2016-04-21 17:15:40.567
NormalBlink,2016-04-21 17:15:41.917
NormalBlink,2016-04-21 17:15:43.848
NormalBlink,2016-04-21 17:15:45.463
NormalBlink,2016-04-21 17:15:48.410
NormalBlink,2016-04-21 17:15:49.259
NormalBlink,2016-04-21 17:15:49.575
NormalBlink,2016-04-21 17:15:50.840
NormalBlink,2016-04-21 17:15:51.023
NormalBlink,2016-04-21 17:15:52.472
NormalBlink,2016-04-21 17:15:52.988
NormalBlink,2016-04-21 17:15:53.172
NormalBlink,2016-04-21 17:15:54.320
NormalBlink,2016-04-21 17:15:55.801
NormalBlink,2016-04-21 17:15:57.200
NormalBlink,2016-04-21 17:15:58.381
NormalBlink,2016-04-21 17:15:59.431
NormalBlink,2016-04-21 17:16:00.497
NormalBlink,2016-04-21 17:16:02.328
NormalBlink,2016-04-21 17:16:04.510
NormalBlink,2016-04-21 17:16:24.570
NormalBlink,2016-04-21 17:16:26.268
NormalBlink,2016-04-21 17:16:27.267
NormalBlink,2016-04-21 17:16:27.434
NormalBlink,2016-04-21 17:16:28.416
NormalBlink,2016-04-21 17:16:34.359
NormalBlink,2016-04-21 17:16:38.655
NormalBlink,2016-04-21 17:16:41.204
NormalBlink,2016-04-21 17:16:43.483
NormalBlink,2016-04-21 17:16:46.030
NormalBlink,2016-04-21 17:16:49.077
NormalBlink,2016-04-21 17:16:50.775
NormalBlink,2016-04-21 17:16:51.308
NormalBlink,2016-04-21 17:16:51.840
NormalBlink,2016-04-21 17:16:53.173
NormalBlink,2016-04-21 17:16:54.821
NormalBlink,2016-04-21 17:16:57.135
NormalBlink,2016-04-21 17:16:57.735
NormalBlink,2016-04-21 17:16:57.851
NormalBlink,2016-04-21 17:16:58.167
NormalBlink,2016-04-21 17:16:58.350
NormalBlink,2016-04-21 17:16:58.684
NormalBlink,2016-04-21 17:16:59.632
NormalBlink,2016-04-21 17:17:00.664
NormalBlink,2016-04-21 17:17:02.297
NormalBlink,2016-04-21 17:17:02.979
NormalBlink,2016-04-21 17:17:03.578
NormalBlink,2016-04-21 17:17:05.393
NormalBlink,2016-04-21 17:17:06.075
NormalBlink,2016-04-21 17:17:07.956
NormalBlink,2016-04-21 17:17:08.223
NormalBlink,2016-04-21 17:17:12.069
NormalBlink,2016-04-21 17:17:14.651
NormalBlink,2016-04-21 17:17:16.215
NormalBlink,2016-04-21 17:17:16.931
NormalBlink,2016-04-21 17:17:17.763
NormalBlink,2016-04-21 17:17:19.311
NormalBlink,2016-04-21 17:17:20.077
NormalBlink,2016-04-21 17:17:20.978
LongBlink,2016-04-21 17:17:22.374
LongBlink,2016-04-21 17:17:26.020
NormalBlink,2016-04-21 17:17:27.536
LongBlink,2016-04-21 17:17:30.749
NormalBlink,2016-04-21 17:17:31.298
NormalBlink,2016-04-21 17:17:32.632
NormalBlink,2016-04-21 17:17:37.493
NormalBlink,2016-04-21 17:17:38.591
NormalBlink,2016-04-21 17:17:39.643
NormalBlink,2016-04-21 17:17:40.571
LongBlink,2016-04-21 17:17:43.551
NormalBlink,2016-04-21 17:17:44.734
NormalBlink,2016-04-21 17:17:45.233
LongBlink,2016-04-21 17:17:46.449
LongBlink,2016-04-21 17:17:49.013
LongBlink,2016-04-21 17:17:50.411
NormalBlink,2016-04-21 17:17:51.329
LongBlink,2016-04-21 17:17:55.356
NormalBlink,2016-04-21 17:17:57.353
NormalBlink,2016-04-21 17:17:58.635
