BlinkType,TimeTracker
NormalBlink,2016-04-21 17:08:09.722
NormalBlink,2016-04-21 17:08:10.288
NormalBlink,2016-04-21 17:08:12.869
NormalBlink,2016-04-21 17:08:13.238
NormalBlink,2016-04-21 17:08:16.431
NormalBlink,2016-04-21 17:08:16.597
NormalBlink,2016-04-21 17:08:20.110
NormalBlink,2016-04-21 17:08:29.634
NormalBlink,2016-04-21 17:08:29.983
LongBlink,2016-04-21 17:08:32.630
NormalBlink,2016-04-21 17:08:39.157
NormalBlink,2016-04-21 17:08:39.822
NormalBlink,2016-04-21 17:08:42.370
NormalBlink,2016-04-21 17:08:43.819
NormalBlink,2016-04-21 17:08:45.350
NormalBlink,2016-04-21 17:08:50.161
NormalBlink,2016-04-21 17:08:50.494
NormalBlink,2016-04-21 17:08:52.359
NormalBlink,2016-04-21 17:08:53.524
NormalBlink,2016-04-21 17:08:54.657
NormalBlink,2016-04-21 17:09:01.117
NormalBlink,2016-04-21 17:09:08.092
NormalBlink,2016-04-21 17:09:10.339
NormalBlink,2016-04-21 17:09:13.336
NormalBlink,2016-04-21 17:09:13.589
NormalBlink,2016-04-21 17:09:14.135
NormalBlink,2016-04-21 17:09:16.883
LongBlink,2016-04-21 17:09:17.499
NormalBlink,2016-04-21 17:09:17.999
NormalBlink,2016-04-21 17:09:18.449
LongBlink,2016-04-21 17:09:20.379
NormalBlink,2016-04-21 17:09:25.957
NormalBlink,2016-04-21 17:09:38.842
NormalBlink,2016-04-21 17:09:44.736
NormalBlink,2016-04-21 17:09:45.669
NormalBlink,2016-04-21 17:09:51.744
NormalBlink,2016-04-21 17:09:51.961
NormalBlink,2016-04-21 17:09:52.511
NormalBlink,2016-04-21 17:09:53.110
NormalBlink,2016-04-21 17:09:54.392
NormalBlink,2016-04-21 17:09:55.208
NormalBlink,2016-04-21 17:09:55.474
NormalBlink,2016-04-21 17:09:56.473
NormalBlink,2016-04-21 17:09:57.789
NormalBlink,2016-04-21 17:09:58.222
NormalBlink,2016-04-21 17:09:58.555
NormalBlink,2016-04-21 17:09:59.553
LongBlink,2016-04-21 17:10:02.799
NormalBlink,2016-04-21 17:10:03.615
NormalBlink,2016-04-21 17:10:04.282
NormalBlink,2016-04-21 17:10:04.497
NormalBlink,2016-04-21 17:10:04.797
LongBlink,2016-04-21 17:10:05.513
NormalBlink,2016-04-21 17:10:05.813
NormalBlink,2016-04-21 17:10:06.046
NormalBlink,2016-04-21 17:10:06.346
NormalBlink,2016-04-21 17:10:06.995
LongBlink,2016-04-21 17:10:08.043
LongBlink,2016-04-21 17:10:08.859
NormalBlink,2016-04-21 17:10:09.275
NormalBlink,2016-04-21 17:10:09.959
NormalBlink,2016-04-21 17:10:10.142
