CRX,CRY
818.6289,533.7948
840.7111,515.5967
822.0505,526.3328
825.1436,519.3978
821.2645,529.2886
832.14,512.3466
817.2987,521.1649
829.1998,526.8039
849.9934,519.4633
843.0289,533.9547
830.698,529.6814
831.1516,519.8903
835.559,542.853
826.6839,540.213
833.5323,535.0648
836.7388,531.5159
828.0656,531.9346
842.4961,530.0458
826.3344,562.2169
827.1616,532.4838
832.6548,533.4178
825.2014,533.7333
837.6973,536.0731
817.1471,541.23
833.995,540.164
829.0085,524.8314
836.8345,535.3976
843.3715,545.8968
838.7668,528.1644
839.5824,540.1154
839.2645,525.2271
842.0735,515.0619
848.6959,532.2836
844.7365,545.6317
828.8879,521.8085
842.5807,533.5214
835.5928,538.2012
843.6942,531.5421
828.8499,513.2795
824.4487,527.3452
817.8925,535.0875
850.4265,537.2968
772.4397,643.306
629.3358,807.7972
581.5987,857.2449
592.572,835.3026
593.6709,823.549
604.3682,823.1021
597.833,815.3103
606.6878,815.9025
615.8412,827.9675
586.3311,799.2191
594.2434,793.749
583.165,773.373
591.5334,780.8364
603.2502,789.0615
605.2893,780.8288
587.2893,781.9214
599.8127,783.381
597.6212,783.7284
598.2933,795.02
624.6204,785.8716
604.2145,800.8063
577.8253,794.9541
699.0628,800.1079
972.0876,794.6949
1254.4102,838.7024
1283.5457,820.6007
1263.7562,840.3397
1258.6412,835.8833
1245.6284,828.287
1235.1563,831.1926
1240.972,824.0824
1228.7705,829.3331
1220.3705,834.3449
1252.2957,834.2069
1219.5884,827.499
1275.6006,824.0178
1295.2161,808.1671
1304.5239,810.2145
1292.8427,807.3268
1282.4326,796.0631
1023.9446,423.6906
858.1929,209.7986
788.3615,157.9991
797.5264,199.1395
810.1542,196.1269
802.1281,211.5195
811.2819,205.9842
813.4943,240.5865
818.0839,224.0831
806.8918,214.545
806.6615,192.9259
825.9192,224.8642
819.0326,228.1532
789.1346,231.6898
774.9384,213.6943
773.0637,225.4822
780.189,186.7837
771.2282,211.766
776.3892,199.5556
761.2644,198.8518
775.7384,204.6539
767.4459,186.7198
781.6788,219.3851
789.0539,194.072
758.3783,151.9517
731.4997,16.1349
719.6801,7.2843
716.5255,-17.7689
719.8728,1.5509
721.6755,8.7857
723.4779,12.1403
735.5599,23.4574
722.863,18.8539
721.8817,34.1801
729.5547,29.0164
724.9898,9.3989
730.9653,11.5334
729.3521,33.3898
734.8784,25.5223
730.9988,35.6429
729.8254,25.0503
734.7966,32.2504
727.2345,32.2847
726.7471,18.2947
643.2044,39.2319
634.335,40.2758
616.5197,12.8176
634.5497,41.5844
647.0291,30.6244
639.3995,50.6835
639.8428,53.4169
647.2572,36.3531
652.6003,19.3068
651.0144,45.4558
648.0161,18.1698
643.4841,15.5986
646.478,19.3033
581.9984,157.8882
436.312,521.1458
331.4564,830.2729
275.6871,1050.8875
268.4205,1117.1102
272.3108,1082.8135
279.7739,1091.7916
289.6261,1075.1943
277.6227,1061.9119
301.3672,1054.0029
306.1274,1064.8992
315.0801,1056.0859
295.0582,1053.6382
301.3629,1046.832
304.1323,1053.2998
295.8974,1025.8799
349.3829,987.9819
355.6132,970.8708
370.4438,960.3259
361.178,973.9381
345.1481,969.0282
358.4363,971.4586
373.9018,972.6362
548.283,956.9181
701.3467,947.968
738.691,930.4752
730.2306,929.9972
727.3668,943.9342
708.7839,925.0926
713.532,934.7175
709.9212,940.8337
709.5828,936.9797
715.8511,930.6191
716.6295,931.8405
700.0411,948.424
720.6332,932.6993
698.1368,929.863
707.6766,930.3019
701.5321,937.8628
708.0579,942.0028
697.4034,936.3373
759.7842,851.8315
783.0242,746.0166
844.8536,561.6125
1390.4591,443.0412
871.1335,438.3253
890.5568,436.3936
894.7789,453.7842
889.4595,471.4714
