CRX,CRY
855.3188,369.6889
679.4789,379.7761
717.5079,413.1794
699.0878,430.4669
695.1298,432.9918
704.1719,433.3123
706.8225,421.1483
699.1394,431.7267
701.4463,429.6974
706.6483,433.4365
706.3889,427.0233
696.3125,415.0524
709.3194,416.8446
696.8459,424.8171
719.5389,416.3203
721.3338,417.2516
732.9753,244.662
728.1444,239.8064
728.5717,249.1487
731.483,248.3376
728.2028,238.7063
747.6813,225.2484
755.4982,185.2
760.9479,169.7334
766.7418,167.076
748.6937,165.916
758.6177,192.5432
757.6508,163.7757
753.4299,171.6389
755.0802,195.5801
750.7589,190.099
743.0815,197.8342
745.8776,167.8201
744.0118,192.4915
754.6912,192.1548
747.6791,189.5618
650.6818,219.4302
559.7163,252.6661
549.8389,258.2651
551.022,232.3576
583.4093,245.2892
568.5732,237.8434
584.1865,232.136
572.9805,225.3167
584.3033,227.6482
589.2823,258.4632
587.5704,224.9795
581.6052,222.0431
578.3671,238.8026
585.648,221.9531
690.7449,243.3728
736.9727,242.2825
726.6119,243.8044
731.8835,236.4699
729.1033,233.7323
719.9483,229.0042
729.9531,232.5723
724.5822,225.7918
721.9966,244.9657
730.6619,238.9768
716.3575,232.4309
782.3256,209.7732
779.222,232.6622
804.4647,231.7004
813.2664,261.833
802.2979,261.5487
810.007,244.6839
796.3022,258.3088
804.6014,230.2391
844.8346,265.5664
893.1266,270.9133
904.0257,247.2702
895.385,264.3559
904.9951,249.6549
874.5773,256.597
872.949,276.4614
890.9337,247.8194
879.4093,253.1731
881.3361,262.2139
880.2868,258.302
889.3768,255.7688
867.0833,278.5359
860.0813,298.7127
804.1008,280.1958
761.323,309.601
748.1349,293.2997
746.733,287.4986
747.5286,287.2159
752.3239,288.4728
750.6129,280.4319
738.0266,268.91
742.5543,277.5922
735.554,262.2876
750.9296,265.6738
732.1425,268.5725
742.9467,267.4312
754.4808,278.8639
743.0682,272.1047
766.2795,266.3517
760.4113,254.5181
742.1852,281.1076
771.1433,249.2536
763.9724,276.896
761.8895,260.3292
751.1971,250.9924
769.8071,255.339
879.5923,263.5805
895.3424,280.4237
881.5001,293.9036
888.5863,261.8026
877.9653,286.8862
877.1372,272.3996
857.7845,281.4402
874.8599,278.6064
867.9901,289.8052
880.7233,292.4296
893.8149,274.1435
887.2975,283.3293
866.9467,274.5434
879.1553,298.7555
917.7686,274.3185
932.7405,281.8401
944.6168,285.791
942.2596,274.0401
959.5892,283.2854
952.5675,290.9349
942.558,262.8862
886.4063,302.9216
703.1802,310.4698
571.8348,303.3139
580.6976,338.5772
593.7483,303.5625
604.0609,295.7283
608.1407,287.0291
626.0513,273.0352
602.48,301.7431
620.1046,286.9208
523.851,132.4128
668.2551,288.2099
686.7562,303.0171
692.0583,306.1116
683.3938,293.5016
705.3383,306.9719
694.5449,306.3433
701.0701,309.1295
698.5799,307.8564
686.8923,310.4749
697.3231,304.5114
701.9442,289.3352
691.3563,304.9205
675.8455,305.7119
745.4826,310.3606
777.0905,310.5596
776.2618,288.1564
779.525,309.973
784.427,303.7827
779.0607,304.7905
777.2484,304.6058
779.9749,309.5404
778.529,322.3381
764.2803,305.4005
775.1191,315.0825
780.3324,303.6239
767.0649,307.6152
861.2469,296.3533
880.1414,307.0932
909.7782,271.7151
898.3557,302.9814
908.1675,290.3612
891.7972,283.5513
888.1444,306.945
875.1523,301.9442
893.0515,299.1254
888.6954,291.0703
894.8414,288.3791
893.5102,271.2315
879.0807,290.6297
900.583,260.4852
899.4261,259.9381
889.8963,282.9426
930.6143,279.3715
963.5515,286.4978
952.9762,263.5963
947.2195,288.9791
961.8435,281.1876
949.3381,287.8101
961.8856,274.1226
963.9189,284.037
947.9146,299.5839
947.6473,267.0749
946.8484,279.7591
948.5031,272.4113
792.6021,318.4971
599.1553,289.6735
555.3206,309.0262
565.4692,328.6577
571.3725,334.0443
571.5189,315.5474
573.6608,309.0023
560.1274,313.4868
563.7736,310.9221
584.4697,332.5163
569.8752,315.1676
577.6915,321.8962
582.972,325.3748
591.3864,307.9502
604.3978,331.0445
603.6301,316.5432
612.9682,305.1907
617.1378,325.2959
597.286,315.0144
613.0668,329.0256
607.7351,324.3144
618.7498,329.5238
612.7353,319.2498
592.2472,316.0807
605.9861,313.356
626.7253,326.8448
612.1242,331.5975
632.6024,319.0191
683.4396,339.5491
672.1614,309.6472
688.1177,334.0187
682.5178,336.3442
665.3904,303.366
680.529,341.6588
672.1619,330.7128
774.4899,245.7845
759.1981,288.3222
749.4234,311.9291
755.3881,323.1045
755.5718,303.4628
751.9441,294.4107
757.0338,315.2034
756.3287,299.9292
771.6849,318.302
712.4111,288.6732
703.4202,313.9364
694.6113,326.212
699.3774,357.779
698.0917,323.0769
723.4628,349.7059
713.334,350.0445
711.4387,329.4559
718.2537,361.2533
716.722,343.7601
704.7504,333.8993
743.2556,366.644
717.1169,342.8562
816.4562,347.1359
816.8973,355.7571
809.2702,344.4839
811.1533,350.7646
813.2856,334.6745
796.8826,343.9756
805.2896,319.9086
811.2369,354.9393
812.1505,334.3691
814.6305,319.9215
794.5516,285.1274
933.0231,325.467
896.6313,354.6737
933.1323,363.4668
918.5569,330.4728
918.593,357.9472
927.2434,341.3969
919.3023,351.4543
915.5197,347.0386
914.33,338.7215
926.4518,340.5099
855.9983,343.673
672.2404,399.0447
600.5154,389.644
586.335,427.3951
579.5311,409.3059
605.3606,404.7292
592.324,397.6248
571.739,378.266
602.6718,429.854
593.3239,407.5045
606.0828,398.8922
602.5355,419.3773
597.6497,393.5188
613.769,406.2012
600.4016,396.1132
595.6844,407.5789
669.2004,410.7355
698.705,394.5793
684.7452,408.2283
701.1089,405.7014
702.3229,407.3829
693.8265,387.5868
676.9329,404.1102
692.197,404.108
688.2465,424.1691
671.9807,396.3486
685.9276,386.879
686.3525,390.9423
691.45,387.0939
694.8519,399.7497
708.1425,410.5559
767.1912,365.1369
795.5317,357.0201
817.7065,395.5735
784.9956,383.7331
799.8301,371.9986
796.8179,403.1937
798.3075,399.6328
786.9042,397.7017
783.0396,392.1226
786.228,398.24
797.4795,410.8264
801.1419,397.44
796.196,379.8633
778.1025,360.6794
802.4116,398.7291
782.2808,359.7807
785.0148,386.748
781.4631,376.1497
792.1794,391.847
778.7687,380.4624
897.9059,397.3025
948.9579,384.5966
950.121,378.7758
952.1361,371.0667
940.0813,404.4878
948.0228,373.3185
941.2961,377.1679
949.2294,386.1014
939.7378,381.6053
954.4594,372.0817
941.2589,388.0652
936.3998,371.0249
943.6081,364.1669
798.5085,375.4377
620.7476,430.6734
571.3339,425.33
580.1809,448.6345
587.9203,439.1804
582.7869,427.3766
583.1959,420.8292
592.3052,429.14
610.8618,436.636
595.293,449.4866
605.2919,431.9617
600.4316,443.9604
593.7229,449.0524
587.9839,447.8678
608.8052,449.1806
594.8859,424.6584
600.3118,436.2978
600.9229,441.0869
576.6898,428.6509
560.5723,442.8875
566.5743,445.684
562.4388,446.7515
548.7454,444.5811
575.4049,450.0657
551.1941,440.3253
558.9763,454.4066
568.7051,434.9414
557.6396,446.4038
680.0365,459.4183
738.2751,460.3028
760.9725,449.8073
743.0659,445.6659
747.096,452.7775
751.3439,452.2643
747.8817,433.5861
748.1589,431.3958
790.9948,403.1496
785.3806,422.6105
798.1351,420.6317
798.7148,399.1869
695.7929,387.9249
644.8927,441.7719
664.3113,438.8717
651.0736,430.0404
632.1157,435.3525
648.0731,427.0789
672.1556,437.5222
657.8098,439.2836
653.6357,442.9764
642.0416,445.1925
666.5778,437.299
659.5299,424.9465
648.3947,442.699
666.1732,439.6993
662.3157,452.6835
660.4844,438.0125
642.0027,439.8459
645.8666,451.5042
646.4722,426.3125
657.2256,448.0541
641.5459,436.1929
650.2287,441.363
672.368,426.069
662.0642,439.4135
660.1954,445.5423
651.5041,439.41
657.7061,430.785
643.1189,420.3349
638.1306,418.7628
672.3761,411.655
638.647,414.1733
676.7236,443.6094
733.9449,431.3555
725.8948,405.3013
748.2225,431.8589
739.6317,394.2967
733.2515,415.7805
743.6877,409.7974
735.8765,413.6006
722.6733,396.6081
737.015,420.4121
751.2323,406.8104
733.9126,397.1418
730.0468,410.7379
731.191,387.2698
717.6723,396.3481
731.132,429.4366
744.5697,387.1279
796.051,427.4443
834.2393,424.9547
835.8801,417.5109
826.2435,441.8294
845.5272,396.0996
823.7993,379.3969
845.8792,422.1937
825.2571,390.9506
823.7879,407.0183
841.7123,404.5442
830.0956,418.7949
820.353,409.7492
826.5348,377.0133
836.5455,387.4312
805.7615,410.7808
837.8597,401.7194
823.6333,421.8722
837.6923,425.7839
818.713,412.7204
829.666,423.3765
817.3328,434.8932
821.5258,457.7659
902.5634,426.4686
924.702,435.2944
937.2772,449.3671
937.3511,433.2195
943.3174,434.2908
927.2076,421.3561
943.5175,406.0168
935.4474,419.4448
926.1294,420.5589
927.769,415.1895
921.08,417.394
946.2356,426.733
985.5837,412.3295
1005.1422,412.0427
987.9063,408.4342
1002.2252,391.7675
981.5758,431.7996
984.9924,405.7731
989.8202,423.4393
925.5887,420.393
756.495,433.973
587.8518,479.8925
556.3945,474.3561
550.6475,469.6516
564.9889,505.5397
566.1757,485.6761
562.7968,485.6907
561.3912,492.4712
580.0068,483.8129
570.2255,487.822
572.2109,496.9884
588.0408,478.6743
568.446,493.8974
569.2047,476.0374
586.9605,495.3175
621.7021,478.2579
630.2646,456.0541
649.0083,488.006
624.3157,507.4233
629.5971,473.772
619.2332,477.7437
632.9871,492.9189
625.4585,468.5264
628.2056,459.4322
643.0663,473.2
634.4824,479.2245
630.8344,468.5417
624.5206,466.9803
639.8962,477.2422
669.9507,437.3243
718.9548,465.4815
743.262,468.2524
705.9272,456.0966
727.6002,460.2621
713.1085,478.672
708.3981,478.3711
726.12,472.4937
710.0802,448.6005
709.1328,498.0494
767.0887,479.4657
769.5375,436.234
779.4136,463.4065
782.9747,463.5098
772.2629,461.0734
773.0371,445.3842
765.3684,484.3726
775.6738,470.9354
795.8265,475.83
775.8031,449.0837
802.8553,474.718
852.8992,460.4651
912.1096,453.5724
909.6489,476.278
910.4452,475.4722
896.083,463.0954
904.7209,471.0519
914.4456,469.4901
907.4517,475.1393
901.2757,472.6926
905.3781,459.7649
912.4928,480.9352
905.739,483.7384
937.0447,468.8036
934.3322,487.4266
938.9332,468.6857
936.5992,475.513
934.1008,462.8969
942.0433,472.0109
940.8704,485.9457
938.8472,484.1001
848.7874,497.3034
928.4318,476.4262
554.2972,517.2611
555.427,501.402
561.9474,509.275
572.9902,516.3156
568.2108,508.5628
564.4395,509.1277
553.0383,514.4803
556.571,513.5148
586.4832,491.8
578.9901,513.9953
577.2614,517.9875
568.3953,370.65
568.7849,376.8329
606.3345,418.076
654.0858,496.3526
638.6722,502.1277
631.3221,525.2869
631.9321,519.1065
647.9026,504.7361
632.0577,514.7085
620.9138,511.2241
636.6417,496.3527
642.3354,495.3817
651.0654,519.8252
658.1946,517.6933
667.3684,520.1772
667.1672,510.9301
675.5155,514.9858
673.4316,512.6708
651.9174,507.5954
657.8673,511.5747
642.2125,509.4302
782.0859,501.8348
972.5775,470.7483
985.0551,474.3887
