BlinkType,TimeTracker
NormalBlink,2016-04-28 11:37:30.837
NormalBlink,2016-04-28 11:37:34.651
NormalBlink,2016-04-28 11:37:36.799
NormalBlink,2016-04-28 11:37:42.958
LongBlink,2016-04-28 11:37:44.773
NormalBlink,2016-04-28 11:38:07.250
NormalBlink,2016-04-28 11:38:20.800
NormalBlink,2016-04-28 11:38:26.810
NormalBlink,2016-04-28 11:38:38.814
NormalBlink,2016-04-28 11:38:56.062
NormalBlink,2016-04-28 11:39:23.468
NormalBlink,2016-04-28 11:39:29.843
NormalBlink,2016-04-28 11:39:34.605
NormalBlink,2016-04-28 11:39:40.054
NormalBlink,2016-04-28 11:39:50.572
NormalBlink,2016-04-28 11:39:56.702
NormalBlink,2016-04-28 11:40:02.757
NormalBlink,2016-04-28 11:40:03.972
NormalBlink,2016-04-28 11:40:07.685
NormalBlink,2016-04-28 11:40:12.630
NormalBlink,2016-04-28 11:40:14.149
NormalBlink,2016-04-28 11:40:15.361
NormalBlink,2016-04-28 11:40:28.029
NormalBlink,2016-04-28 11:40:32.143
NormalBlink,2016-04-28 11:40:36.920
NormalBlink,2016-04-28 11:40:42.115
NormalBlink,2016-04-28 11:41:02.159
NormalBlink,2016-04-28 11:42:02.362
NormalBlink,2016-04-28 11:42:04.926
NormalBlink,2016-04-28 11:42:08.288
NormalBlink,2016-04-28 11:42:10.169
