Head Orientation,,,Left Raw,,Left Smoothed,,Right Raw,,Right Smoothed,,Combined Raw,,Combined Smoothed,,Is Fixated,State,TimeStamp
{0, 0, 0},{1044.9424, 687.4503},{1029.3472, 714.2868},{0, 0},{0, 0},{1044.9424, 687.4503},{1029.3472, 714.2868},False,4,2016-02-23 16:33:09.919
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:09.953
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:09.969
{0, 0, 0},{1104.4222, 671.3812},{1057.5533, 710.0599},{0, 0},{0, 0},{1104.4222, 671.3812},{1057.5533, 710.0599},True,4,2016-02-23 16:33:09.986
{0, 0, 0},{1111.0842, 725.3597},{1111.0842, 725.3597},{0, 0},{0, 0},{1111.0842, 725.3597},{1111.0842, 725.3597},False,4,2016-02-23 16:33:10.003
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:10.019
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.036
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.053
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.069
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.086
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.103
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.169
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.188
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.241
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:10.269
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.287
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.320
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.353
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,4,2016-02-23 16:33:10.369
{0, 0, 0},{-535.3073, 1556.0487},{-535.3073, 1556.0487},{0, 0},{0, 0},{-535.3073, 1556.0487},{-535.3073, 1556.0487},False,4,2016-02-23 16:33:10.386
{0, 0, 0},{-550.7571, 1213.1375},{-543.0421, 1384.3744},{0, 0},{0, 0},{-550.7571, 1213.1375},{-543.0421, 1384.3744},False,4,2016-02-23 16:33:10.492
{0, 0, 0},{-594.0194, 957.4686},{-560.1199, 1241.1765},{0, 0},{0, 0},{-594.0194, 957.4686},{-560.1199, 1241.1765},False,4,2016-02-23 16:33:10.588
{0, 0, 0},{-604.2813, 966.2638},{-571.3336, 1171.0745},{0, 0},{0, 0},{-604.2813, 966.2638},{-571.3336, 1171.0745},False,4,2016-02-23 16:33:10.609
{0, 0, 0},{-493.8695, 1090.926},{-555.7304, 1153.7759},{0, 0},{0, 0},{-493.8695, 1090.926},{-555.7304, 1153.7759},False,4,2016-02-23 16:33:10.654
{0, 0, 0},{-573.4164, 1096.1821},{-573.4164, 1096.1821},{0, 0},{0, 0},{-573.4164, 1096.1821},{-573.4164, 1096.1821},False,4,2016-02-23 16:33:10.753
{0, 0, 0},{-598.4108, 1360.3009},{-598.4108, 1360.3009},{0, 0},{0, 0},{-598.4108, 1360.3009},{-598.4108, 1360.3009},False,4,2016-02-23 16:33:10.787
{0, 0, 0},{-567.895, 1303.7452},{-583.1334, 1331.9871},{0, 0},{0, 0},{-567.895, 1303.7452},{-583.1334, 1331.9871},False,4,2016-02-23 16:33:10.841
{0, 0, 0},{-571.4125, 1228.3754},{-579.184, 1297.2549},{0, 0},{0, 0},{-571.4125, 1228.3754},{-579.184, 1297.2549},False,4,2016-02-23 16:33:10.902
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.002
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.018
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.152
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.174
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.186
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.219
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.338
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.355
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.387
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.424
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.439
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.469
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.452
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.519
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.636
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,8,2016-02-23 16:33:11.752
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.768
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.785
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.802
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.818
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.835
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.860
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.874
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.953
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.971
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:11.985
{0, 0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},{0, 0},False,16,2016-02-23 16:33:12.002
