Name,Time,Count
bookB (2),0,0
bookC (40),0,0
Point light (1),0,0
Point light,0,0
paper (3),0,0
wallsEdge (20),0,0
bookC (31),0,0
bookB (35),0,0
wallsEdge (31),0,0
Lamps,0,0
ImageEyeTracker,0,0
wallsEdge (2),0,0
bookB (1),0,0
bookC (43),0,0
bookB (42),0,0
QuestA3,0,0
Point light (2),0,0
bookB (36),0,0
bookB (37),0,0
bookB (37),0,0
bookC (6),0,0
Particle System,0,0
bookB (34),0,0
paper (2),0,0
bookC (35),0,0
LampOilWallMounting (2),0,0
QuestB1,0,0
bookC (51),0,0
bookC (15),0,0
Point light (3),0,0
bookC (10),0,0
wallsEdge (11),0,0
bookB (46),0,0
bookC (50),0,0
ImageCrosshair,0,0
Point light (2),0,0
bookB (28),0,0
bookC (1),0,0
bookB,0,0
wallsEdge (33),0,0
Particle System (5),0,0
chairDinner (2),0,0
bookB (5),0,0
bookC (53),0,0
wallsEdge (34),0,0
Particle System (4),0,0
Particle System,0,0
BlackBorderText,0,0
Particles_Interior,0,0
bookC (41),0,0
wallsEdge (17),0,0
tableClothA (2),0,0
CarpetA,0,0
Books,0,0
paper (4),0,0
bookB (38),0,0
bookB (27),0,0
BlackBorderBottom,0,0
Particle System (1),0,0
Plates paper and cloth,0,0
bookB (53),0,0
paintingLandscapeB,0,0
paintingD,0,0
Point light,0,0
bookC (30),0,0
Point light (1),0,0
bookB (4),0,0
Particle System (4),0,0
bookB (38),0,0
bookC (17),0,0
Particle System (6),0,0
bookC (39),0,0
bookB (39),0,0
Particle System (2),0,0
Particle System (4),0,0
wallsEdge (32),0,0
bookB (43),0,0
Particle System,0,0
paintingA,0,0
bookC (12),0,0
bookB (13),0,0
bookB (15),0,0
WallEdges,0,0
paper,0,0
bookC (14),0,0
paper (1),0,0
bookC (19),0,0
bookC (23),0,0
LampOilWallMounting,0,0
ImageLoadingScreen,0,0
bookC (32),0,0
Point light,0,0
